company_name,company_link,company_number,company_email,price
coker chest clinic,www.chestclinic.co.uk,+44 7923 385054,info@chestclinic.co.uk,310.0
north devon travel clinic,www.northdevontravelclinic.co.uk,+44 1271 373346,covidtest@northdevontravelclinic.co.uk,320.0
sloane square medical,www.sloanesquaremedical.org,+44 20 7730 8835,manager@sloanesquaremedical.org,325.0
healthclic,healthclic.co.uk,+44 20 3370 4034,covid@healthclic.co.uk,345.0
cht,www.covidhometest.co,+44 20 3319 6469,contact@covidhometest.co,349.0
london medical concierge,londonmedicalconcierge.com,+44 20 7305 5590,experts@londonmedicalconcierge.com,358.0
dr mo private clinic,www.drmoprivateclinic.co.uk,+44 7749 723669,hello@drmoprivateclinic.co.uk,378.0
mk18 private medical practice,www.mk18medical.com,+44 1280 460118,admin@mk18medical.com,390.0
the mayfair gp clinic,www.themayfairgp.com,+44 7568 369455,info@themayfairgp.com,575.0
biograd diagnostics,www.biograddiagnostics.co.uk,+44 151 482 9695,clinical@biograd.co.uk,60.0
rt diagnostics,www.rtdiagnostics.co.uk,+44 1422 416242,info@rtdiagnostics.co.uk,98.0
a hasu diagnostics,www.hasudiagnostics.com,+44 333 772 6254,enquiry@hasudiagnostics.com,99.0
testing for all,www.testingforall.org,+44 20 3301 1100,travel@testingforall.org,99.0
caliber medical services,www.calibermedicalservices.co.uk,+44 7842 451207,martin@calibermedicalservices.co.uk,100.0
0044 covid test,0044covidtest.com,+44 20 3983 5043,hello@0044covidtest.com,105.0
1 covclinics,www.covclinics.co.uk,+44 161 529 5488,info@covclinics.co.uk,114.0
atlas medical services ltd,atlasmed.co.uk,+44 20 8798 2520,covidtesting@atlasmed.co.uk,115.0
ct24 solutions ltd,ct24.co.uk,+44 20 4533 8934,info@ct24.co.uk,115.0
brunswick hygiene ltd,www.brunswickhygiene.com,+44 800 689 1481,info@brunswickhygiene.com,120.0
my private chemist,myprivatechemist.com,+44 20 3987 9202,info@myprivatechemist.com,120.0
1corporate covid tests,www.1corporatecovidtests.com,+44 20 3950 3394,1corporate@rightangled.co,125.0
1corporate covid tests,www.1corporatecovidtests.com,+44 20 3950 3394,1corporate@rightangled.co,125.0
london screening centre,londonscreeningcentre.com,+44 20 7935 3626,asadrudin@yahoo.co.uk,125.0
healthium clinics,healthiumclinics.com,+44 1491 756015,info@healthiumclinics.com,129.0
citydoc medical limited,www.citydoc.org.uk,+44 20 3794 6697,support@citydoc.org.uk,130.0
premier clinic ltd,www.premier-clinic.co.uk,+44 1254 677341,info@premier-clinic.co.uk,130.0
your health first ltd,your-health-first.webnode.co.uk,+44 845 163 0458,info@yourhealthfirstltd.com,130.0
001 covid test,001covidtest.co.uk,+44 330 133 4285,contact@001covidtest.co.uk,140.0
nivha laboratory services ltd.,nivhacovid.net,+44 330 223 6419,covid@nivha.net,140.0
live covid testing,livecovidtesting.co.uk,+44 330 223 5697,info@livecovidtesting.co.uk,141.0
rainbow labs,www.rainbowlabs.co.uk,+44 7436 055025,support@rainbow.co.uk,145.0
advisa medica,covidtestingclinic.co.uk,+44 20 8953 9989,doctor@doctorjlevy.com,148.0
coronafocus by oncologica uk ltd (t/a oncologica uk ltd),covid19.oncologica.com,+44 1223 785327,test@covidprotected.co.uk,150.0
js biomedical ltd,www.jsbiomedical.com,+44 20 3927 2772,admin@jsbiomedical.com,150.0
t consultants ltd,www.covidtestscentre.com,+44 7952 911145,covidtestscentre@gmail.com,150.0
coker chest clinic,www.chestclinic.co.uk,+44 7923 385054,info@chestclinic.co.uk,155.0
masters (uk) limited t/a nechells pharmacy and masters pharmacy,www.nechellspharmacy.co.uk,+44 121 314 3142,info@nechellspharmacy.co.uk,155.0
ask chemist,askchemist.co.uk,+44 1205 352778,enquiries@askchemist.co.uk,159.0
fitnessgenes,coronavirus.fitnessgenes.com,+44 1869 255770,support@fitnessgenes.com,159.0
1st class testing,1stclasstesting.co.uk,+44 7552 251725,info@1stclasstesting.co.uk,160.0
northend clinic,northendclinic.co.uk,+44 151 728 3155,enquiries@northendclinic.co.uk,160.0
1010labs,www.1010labs.co.uk,+44 113 466 0065,covenquiries@1010labs.co.uk,168.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
claret diagnostics ltd,www.privatecovidtests.co.uk,+44 333 577 0939,customerservices@claretdiagnostics.com,169.0
covid smart limited,covidsmart.co.uk,+44 800 702 2145,hello@covidsmart.co.uk,169.0
daya pharmacy,pharmaelite.co.uk,+44 20 8573 3084,dayapharm750@hotmail.com,170.0
flow living medi-care services,www.flowmedicareservices.co.uk,+44 208786935,covidappointments@flowmedicareservices.co.uk,170.0
tp healthcare services limited,www.tphealthcareservices.com,+44 20 4542 4558,enquiries@tphealthcareservices.com,170.0
confirm testing,www.confirmtesting.com,+44 20 3870 3623,info@confirmtesting.com,175.0
halo verify,www.haloverify.com,+44 330904586,info@haloverify.com,178.0
worldwide travel health clinic,www.worldwidetravelhealth.co.uk,+44 1204 263040,info@worldwidetravelhealth.co.uk,179.0
caxton pharmacy,www.caxtonpharmacy.com,+44 20 8460 0377,info@caxtonpharmacy.com,180.0
easter pharmacy,www.myeasters.com,+44 20 3488 8900,customerservices@myeasters.com,180.0
fusion radiology ltd,www.fusion-radiology.com,+44 1582 249216,info@fusion-radiology.com,180.0
midlands ultrasound and medical services,www.mums.me.uk,+44 121 704 2669,administrator@mums.me.uk,180.0
site lt,www.sitelt.co.uk,+44 7398 230712,covid@sitelt.co.uk,180.0
site lt,sitelt.co.uk,+44 7398 230712,covid@sitelt.co.uk,180.0
est-health wellness clinic,www.est-health.com,+44 141 230 5781,covid19@est-ethics.com,185.0
genesis support (t/a fit to fly uk),www.fittoflyuk.com,+44 1708 981993,customercare@fittoflyuk.com,185.0
protein technologies ltd t/a as rapiditydx,rapiditydx.com,+44 161 226 2366,covidtesting@protein-technologies.com,185.0
doctor driver assessment ltd,www.doctordriverassessment.com,+44 800 001 6784,sales@doctordriverassessment.com,189.0
good egg medical,goodeggmedical.co.uk,+44 20 8125 7003,swab@goodeggmedical.co.uk,189.0
covido,www.covido.co.uk,+44 7572 188497,sales@covido.co.uk,190.0
covido,www.covido.co.uk,+44 7572 188497,sales@covido.co.uk,190.0
mdna life sciences,www.nph-group.co.uk,+44 776833371,h.smart@mdnalifesciences.com,190.0
uk event medics limited,www.ukeventmedicservices.co.uk,+44 1270 895177,info@ukeventmedics.net,190.0
cov19care ltd,www.cov19care.co.uk,+44 330 555 0005,info@cov19care.co.uk,195.0
easy testing,www.easytests.co.uk,+44 7519 426288,easytestingltd@gmail.com,195.0
the palace gate practice limited,www.palacegatepractice.com,+44 20 7244 5806,covidtesting@palacegatepractice.com,195.0
one scientic ltd,onescientific.co.uk,+44 117 938 2410,covidenquiries@onescientific.co.uk,196.0
avante health ltd,www.avantetestcentre.co.uk,+44 333 006 9610,support@avantehealth.co.uk,198.0
circular 1 health ltd,circular1.com,+44 800 799 9751,customerservice@circular1.com,198.0
covid testing laboratories,www.covidtestinglaboratories.com,+44 333 242 0889,orders@covidtestinglaboratories.com,198.0
leeds covid testing ltd,www.leedscovidtesting.com,+44 113 534 7252,contact@leedscovidtesting.com,198.0
zoomdoc,www.zoomdoc.com,+44 20 7993 2292,info@zoomdoc.com,198.0
20/30 labs,www.2030lab.com,+44 1604 265119,2and8@2030lab.com,199.0
london covid testing,www.londoncovidtesting.com,+44 20 3488 8463,info@londoncovidtesting.com,199.0
masta,www.masta-travel-health.com,+44 330 100 4200,enquiries@masta.org,199.0
rapid health test,rapidhealthtest.com,+44 1872 229740,contact@rapidhealthtest.com,199.0
oxford covid tests,oxfordcovidtests.com,+44 7767 074768,info@oxfordcovidtests.com,200.0
i-gen testing limited,www.igentesting.co.uk,+44 333 577 1106,info@igentesting.co.uk,205.0
15 minute covid test,www.15minutecovidtest.co.uk,+44 20 3369 0075,info@15minutecovidtest.co.uk,210.0
centennial medical care,www.centennialmedical.co.uk,+44 20 3327 7777,info@centennialmedical.co.uk,210.0
global express travel health clinic,global-express-travel-health-clinic.selectandbook.com,+44 7368 307175,infogethc@gmail.com,210.0
myhealthcare clinic,myhealthcareclinic.com,+44 20 7129 7908,coronatesting@myhealthcareclinic.com,210.0
clear diagnostics ltd,www.cleardiagnostics.co.uk,+44 7424 637888,info@cleardiagnostics.co.uk,215.0
healthwork ltd,healthworkltd.com,+44 161 831 9701,testing@healthworkltd.com,220.0
home2lab,home2lab.co.uk,+44 20 7117 2458,info@home2lab.co.uk,220.0
nhl pharmacy,getavaccine.co.uk,+44 1772 70483,esales@nhlpharmacy.co.uk,220.0
nhl pharmacy,getavaccine.co.uk,+44 1772 70483,esales@nhlpharmacy.co.uk,220.0
north devon travel clinic,www.northdevontravelclinic.co.uk,+44 1272 373346,covidtest@northdevontravelclinic.co.uk,220.0
pyramid pharmacy bermondsey,www.pcrtest2release.com,+44 20 7237 1659,southwark@pyramidpharmacy.co.uk,220.0
well pharmacy (bestway national chemists ltd),shop.well.co.uk,+44 1782 597313,hello@well.co.uk,220.0
well pharmacy (bestway national chemists ltd),shop.well.co.uk,+44 1782 597313,hello@well.co.uk,220.0
the walcote practice,thewalcotepractice.co.uk,+44 1962 828715,info@thewalcotepratice.co.uk,230.0
vivo clinic,vivoclinic.com,+44 333 305 8486,pcrtest@vivoteam.co.uk,238.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
ramss limited,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,240.0
medical logistics / samedaycoronavirustests.com,samedaycoronavirustests.com,+44 7843 988660,info@samedaycoronavirustests.com,250.0
medical and rescue,www.medicalandrescue.co.uk,+44 1784 637999,enquiries@medicalandrescue.co.uk,260.0
aesthetika clinic,www.aesthetika.co.uk,+44 1909 563000,info@aesthetika.co.uk,280.0
one5 health,www.one5.health,+44 20 3488 4415,care@one5.health,280.0
aesthetika clinic,www.aesthetika.co.uk,+44 1909 563000,info@aesthetika.co.uk,285.0
eurofins forensic services,www.eurofins.co.uk,+44 1925 248802,covid19administration@eurofins.co.uk,600.0
herts,www.nph-group.co.uk,+44 776833371,h.smart@mdnalifesciences.com,95.0
1 health hub,www.1healthhub.co.uk,+44 1604 930385,info@thehealthhub.com,99.0
everything genetic ltd,everythinggeneticltd.co.uk,+44 1270 623179,covidtestbookings@everythinggeneticltd.co.uk,99.0
0044 covid test,www.0044covidtest.com,+44 20 3950 3394,hello@0044covidtest.com,105.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,111.0
expert tms limited,www.expertcovidtestinguk.com,+44 1925 691542,enquiries@expertcovidtestinguk.com,112.0
healthium clinics,healthiumclinics.com,+44 1491 756015,info@healthiumclinics.com,112.0
brunswick hygiene ltd,www.brunswickhygiene.com,+44 800 689 1481,info@brunswickhygiene.com,115.0
101 testing,101testing.co.uk,+44 20 3488 8434,info@101testing.co.uk,118.0
acethetix,www.testingservices.online,+44 20 7193 6318,covid@testingservices.online,120.0
anglia dna services,covidfit2fly.com,+44 1603 320777,ttp@angliadna.co.uk,120.0
coronafocus by oncologica uk ltd (t/a oncologica uk ltd),covid19.oncologica.com,+44 1223 785327,test@covidprotected.co.uk,120.0
screen4,screen4.org,+44 1226 730052,covid19@screen4.org,120.0
site lt,sitelt.co.uk,+44 7398 230712,covid@sitelt.co.uk,120.0
medicines online ltd,medicinesonline.org.uk,+44 20 3637 0384,cs@medicinesonline.org.uk,124.0
tamsel (uk) ltd,tamsel.co.uk,+44 20 3167 1228,info@tamsel.co.uk,130.0
1rapid clinics,rapidclinics.co.uk,+44 20 3137 5047,info@1rapidclinics.co.uk,134.0
covid testing laboratories ltd,www.ctls.co.uk,+44 333 242 0889,orders@covidtestinglaboratories.com,135.0
live covid testing,livecovidtesting.co.uk,+44 330 223 5697,info@livecovidtesting.co.uk,135.0
accendolab limited,www.accendolab.co.uk,+44 330 133 3612,info@accendolab.co.uk,145.0
your health first ltd,your-health-first.webnode.co.uk,+44 845 163 0458,info@yourhealthfirstltd.com,145.0
ais covid testing ltd,aiscovid.com,+44 7942 322777,info@aiscovid.com,147.0
advisa  medica,www.covidtestingclinic.co.uk,+44 20 8953 9989,doctor@doctorjlevy.com,148.0
aeromedical consulting uk,www.aeromedicalconsulting.co.uk,+44 333 577 4944,covidtesting@aeromedicalconsulting.co.uk,149.0
bupa occupational health ltd.,www.bupa.co.uk,+44 161 497 0661,mycovidtest@bupa.com,149.0
d&a screening ltd,dnascreening.uk,+44 7724 459384,support@dnascreening.uk,149.0
1 stop covid shop,www.1stopcovidshop.com,+44 7862 268224,contact@1stopcovidshop.com,150.0
harveyrhys clinic,,+44 330 124 6530,testing@covidoc.co.uk,150.0
heald green pharmacy,smtravelclinic.co.uk,+44 161 498 9743,info@hgpharmacy.co.uk,150.0
me360 healthcare ltd t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com,159.0
optimized body &  mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk,159.0
000 book a travel test,www.bookatraveltest.com,+44 20 3811 8197,support@bookatraveltest.com,159.99
citydoc medical limited,www.citydoc.org.uk,+44 20 3325 0174,support@citydoc.org.uk,160.0
a1 global testing limited,a1globaltesting.com,+44 20 7337 2427,admin@a1globaltesting.com,164.99
synlab,humanmedicine.synlab.co.uk,+44 333 014 3760,testtorelease@synlab.co.uk,165.0
tp healthcare services ltd,www.tphealthcareservices.com,+44 20 4542 4558,enquiries@tphealthcareservices.com,165.0
the clinic mk ltd,www.theclinicmk.co.uk,+44 1908 309290,info@theclinicmk.co.uk,168.0
claret diagnostics ltd,www.privatecovidtests.co.uk,,customerservices@claretdiagnostics.com,169.0
fit2fly24/7 ltd,www.fit2fly247.co.uk,+44 330 133 3856,customerservices@fit2fly247.co.uk,169.98
audley pharmacy,audley-remedys.uk,+44 20 7493 6133,covid@audleypharmacy.london,170.0
cq doctor,www.cqdoctor.co.uk,+44 333 404 9512,tests@cqdoctor.uk,170.0
remedys pharmacy,audley-remedys.uk,+44 20 7286 7255,covid@remedyspharmacy.london,170.0
101 covid travel clinic,www.covidtravelclinics.com,+44 333 090 9494,info@covidtravelclinics.com,175.0
jdoc medical limited (t/a jdoc365),www.jdoc365.co.uk,+44 20 3656 5657,covid19@jdoc365.co.uk,175.0
rapid pcr,rapidpcr.co.uk,+44 7907 028192,rapidpcrtest@hotmail.com,178.0
medchecks,medchecks.co.uk,+44 7791 142675,testing@medchecks.ie,179.0
blackburn travel clinic,blackburntravelclinic.co.uk,+44 1254 54988,blackburntravelclinic@gmail.com,180.0
medi-park clinic,www.mediparkclinic.uk,+44 20 8341 3185,info@mediparkclinic.uk,180.0
nx healthcare,www.nxhealthcare.co.uk,+44 20 8168 7100,cservices@nxhealthcare.co.uk,180.0
"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",www.covidfittoflytest.co.uk,+44 7795 388789,info@covidfittoflytest.co.uk,184.99
polaris medical services ltd,www.polarismedical.co.uk,+44 1923 545814,covid-19@pmgoc.com,185.0
4 medical testing,4medicaltesting.co.uk,+44 161 989 5333,info@4medicaltesting.co.uk,189.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
