company_name,company_number_0,company_number_1,company_number_2,company_number_3,company_number_4,company_email_0,company_email_1,company_email_2,company_link_0,company_link_1,company_link_2,company_link_3,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11
"c & h esher ltd t/a central pharmacy, esher",+44 1372 464007,,,,,covidtestbookings@candhesher.com,,,www.centralpharmacyesher.com,,,,205.0,,,,,,,,,,,
c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus,+44 20 3002 6070,,,,,info@c-19direct.com,,,c-19direct.com,,,,119.95,,,,,,,,,,,
"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus",+44 20 3002 6070,,,,,info@c-19direct.com,,,c-19direct.com,,,,114.95,,,,,,,,,,,
c19 testing,+44 20 3920 9012,,,,,support@c19testing.co.uk,,,www.c19testing.co.uk,,,,190.0,145.0,180.0,169.0,,,,,,,,
calder pharmacy & medspa clinic,+44 20 7034 0156,,,,,info@medspa.co.uk,,,www.medspa.co.uk,,,,250.0,,,,,,,,,,,
calder pharmacy & medspa clinic notting hill,+44 20 7034 0156,,,,,info@medspa.co.uk,,,,,,,180.0,,,,,,,,,,,
calder pharmacy & medspa clinic of notting hill,+44 20 7034 0156,,,,,info@medspa.co.uk,,,www.medspa.co.uk,,,,250.0,180.0,99.0,,,,,,,,,
caliber medical services,+44 7842 451207,,,,,martin@calibermedicalservices.co.uk,,,www.calibermedicalservices.co.uk,,,,100.0,,,,,,,,,,,
candarin medical,+44 7906 873581,,,,,sophia@candarinuk.com,sophia@candarinuk. com,,candarinmedical.com,,,,200.0,169.0,,,,,,,,,,
caxton pharmacy,+44 20 8460 0377,,,,,info@caxtonpharmacy.com,,,www.caxtonpharmacy.com,,,,240.0,180.0,,,,,,,,,,
centennial medical care,+44 20 3327 7777,,,,,info@centennialmedical.co.uk,,,centennialmedical.co.uk,www.centennialmedical.co.uk,,,210.0,149.0,,,,,,,,,,
chase lodge hospital,+44 20 8358 7100,,,,,info@chaselodgehospital.com,,,www.chaselodgehospital.com,,,,249.0,,,,,,,,,,,
chb medical,+44 1242 698371,,,,,info@chbmedical.com,,,www.chbmedical.co.uk,,,,190.0,,,,,,,,,,,
chb medical ltd,+44 1242 698371,,,,,info@chbmedical.com,,,www.chbmedical.co.uk,,,,190.0,140.0,,,,,,,,,,
check my body health,+44 1604 930250,,,,,covidteam@checkmybodyhealth.com,,,checkmybodyhealth.co.uk,checkmybodyhealth.com,,,170.0,96.0,160.0,,,,,,,,,
chelsea medical,+44 20 7589 2353,,,,,cm@chelsealondondoctor.com,,,www.chelsealondondoctor.com,,,,350.0,,,,,,,,,,,
chelsea pharmacy medical clinic,+44 20 7589 8776,,,,,contact@cpmedicalclinic.com,,,cpmedicalclinic.com,,,,240.0,250.0,,,,,,,,,,
"cheltenham, west midlands & worcester travel clinics",,,,,,covidtest@raylane.co.uk,,,raylanetravelclinics.co.uk,,,,159.0,,,,,,,,,,,
"cheltenham, worcester & west midlands travel clinics",+44 330133412,+44 330 133 4124,,,,covidtest@raylane.co.uk,,,raylanetravelclinics.co.uk,,,,159.0,,,,,,,,,,,
"cheltenham, worcester and west midlands travel clinics",+44 330133412,,,,,covidtest@raylane.co.uk,,,raylanetravelclinics.co.uk,,,,189.0,,,,,,,,,,,
chhp and ceritific,+44 20 3989 8008,,,,,support.chhp@certific.co,,,certific.chhp.com,,,,139.0,,,,,,,,,,,
chronomics,+44 20 4519 7400,,,,,support@chronomics.com,,,www.chronomics.com,,,,175.0,170.0,,,,,,,,,,
cht,+44 20 3319 6469,,,,,contact@covidhometest.co,,,www.covidhometest.co,,,,349.0,299.0,,,,,,,,,,
church pharmacy,+44 333 577 4575,,,,,clinic@thechurchpharmacy.com,,,thechurchpharmacy.com,,,,180.0,,,,,,,,,,,
church pharmacy weybridge,+44 333 577 4575,,,,,orders@churchpharmacyclinic.co.uk,,,churchpharmacyclinic.co.uk,,,,180.0,,,,,,,,,,,
churchill's pharmacy,+44 20 8994 0229,,,,,covid@churchillspharmacy.co.uk,,,befittofly.com,,,,79.0,,,,,,,,,,,
cignpost diagnostics,+44 20 3384 0000,,,,,info@expresstest.co.uk,,,www.expresstest.co.uk,,,,129.0,,,,,,,,,,,
circular 1 health ltd,+44 800 799 9751,,,,,customerservice@circular1.com,,,circular1.com,,,,198.0,,,,,,,,,,,
citydoc medical,+44 20 3794 6697,,,,,support@citydoc.org.uk,,,www.citydoc.org.uk,,,,160.0,,,,,,,,,,,
citydoc medical limited,+44 20 3794 6697,+44 20 3325 0174,+44 1688 320318,,,support@citydoc.org.uk,,,www.citydoc.org.uk,,,,130.0,160.0,134.0,144.99,,,,,,,,
ck doctors covid travel clinics,+44 333 090 9494,,,,,support@covidtravelclinics.com,,,www.covidtravelclinics.com,,,,30.0,125.0,40.0,23.5,,,,,,,,
claret diagnostics ltd,+44 333 577 0939,,+44 7812 765833,,,customerservices@claretdiagnostics.com,customerservices@claretdiagnostics.coms.com,,www.privatecovidtests.co.uk,,,,169.0,149.0,136.0,,,,,,,,,
clear diagnostics,,,,,,customerservice@cleardiagnostics.co.uk,,,www.cleardiagnostics.co.uk,,,,165.0,,,,,,,,,,,
clear diagnostics ltd,+44 7424 637888,,,,,info@cleardiagnostics.co.uk,,,www.cleardiagnostics.co.uk,,,,215.0,165.0,,,,,,,,,,
clinicare uk,+44 7796 855535,,,,,info@clinicare-uk.com,,,clinicare-uk.com,,,,210.0,170.0,,,,,,,,,,
clnq,+44 1565 362001,,,,,hello@clnq.com,,,www.clnq.com,,,,195.0,,,,,,,,,,,
coker chest clinic,+44 7923 385054,+44 20 7118 5600,,,,info@chestclinic.co.uk,,,www.chestclinic.co.uk,,,,310.0,155.0,160.0,,,,,,,,,
collingwood health,+44 1753 781654,,,,,testing@collingwoodhealth.com,,,collingwoodhealth.com,,,,189.0,169.0,,,,,,,,,,
collinson,+44 1444 444140,,,,,consumerhelp@collinsongroup.com,,,www.collinsongroup.com,,,,165.0,138.0,,,,,,,,,,
complete covid tests,+44 771012817,,,,,contact@completecovidtests.com,,,completecovidtests.com,,,,20.0,,,,,,,,,,,
concepto clinic,+44 20 3371 8814,,,,,support@conceptoclinic.co.uk,,,conceptoclinic.co.uk,,,,159.0,129.0,,,,,,,,,,
concierge medical,+44 1451 600900,,,,,covid@conciergemedical.co.uk,,,conciergemedical.co.uk,,,,210.0,,,,,,,,,,,
concierge medical practice,+44 14510600900,,,,,covid@conciergemedical.co.uk,,,www.conciergemedical.co.uk,,,,160.0,,,,,,,,,,,
confirm testing,+44 20 3870 3623,,,,,info@confirmtesting.com,,,www.confirmtesting.com,,,,180.0,175.0,114.0,60.0,35.0,20.0,79.0,,,,,
confirm testing limited,+44 20 3870 3623,,,,,info@confirmtesting.com,,,www.confirmtesting.com,,,,20.0,119.0,,,,,,,,,,
consultant clinic,+44 161 399 0402,,,,,info@consultantclinic.org,,,consultantclinic.org,,,,175.0,155.0,135.0,130.0,125.0,119.0,,,,,,
coop pharmacy,+44 1902 357660,,,,,bilston.pharmacyhub@midcounties.coop,,,www.cooppharmacy.coop,,,,107.0,115.2,,,,,,,,,,
corona test centre,+44 20 3983 7869,,,,,hello@coronatestcentre.com,,,www.coronatestcentre.com,,,,229.0,199.0,,,,,,,,,,
corona testing,+44 20 3642 2141,,,,,contact@corona-testing.com,,,www.corona-testing.com,,,,149.0,165.0,,,,,,,,,,
corona-testing,+44 20 0262 6321,,,,,contact@corona-testing.com,,,www.corona-testing.com,,,,20.0,,,,,,,,,,,
coronafocus by oncologica uk,+44 1223 785327,,,,,test@covidprotected.co.uk,,,covid19.oncologica.com,,,,150.0,,,,,,,,,,,
coronafocus by oncologica uk ltd (t/a oncologica uk ltd),+44 1223 785327,,,,,test@covidprotected.co.uk,,,covid19.oncologica.com,,,,150.0,120.0,105.0,,,,,,,,,
corporate covid tests,+44 20 3950 3394,,,,,info@1corporatecovidtests.com,,,www.1corporatecovidtests.com,,,,225.0,,,,,,,,,,,
cosmebeaute,+44 20 7935 1127,,,,,info@cosmebeaute.co.uk,,,,,,,298.0,,,,,,,,,,,
courtfield private practice,+44 20 7373 3541,,,,,covidtesting@courtfieldpp.co.uk,,,www.courtfieldpp.co.uk,,,,270.0,,,,,,,,,,,
cov19 care,+44 330 555 0005,,,,,info@cov19care.co.uk,,,www.cov19care.co.uk,,,,195.0,,,,,,,,,,,
cov19care ltd,+44 330 555 0005,,,,,info@cov19care.co.uk,,,www.cov19care.co.uk,,,,195.0,149.0,,,,,,,,,,
covguard,+44 20 4513 4000,,,,,info@covguard.com,,,www.covguard.com,,,,194.0,174.0,180.0,,,,,,,,,
covguard premium,+44 20 4513 4000,,,,,info@covguard.com,,,www.covguard.com,,,,134.0,,,,,,,,,,,
covid 19 private test ltd,+44 330 133 3844,,,,,info@covidtravelpcr.com,,,covidtravelpcr.com,,,,199.0,154.99,,,,,,,,,,
covid clear clinic,+44 7511 441999,,,,,enquiries@covidclearclinic.com,,,www.covidclearclinic.com,,,,169.0,,,,,,,,,,,
"covid fit to fly tes t/a nash travel, tourism and transport services ltd.",+44 7795 388789,,,,,info@covidfittoflytest.co.uk,,,www.covidfittoflytest.co.uk,,,,184.99,,,,,,,,,,,
covid mobile health services/remote trauma ld,+44 20 8546 3230,,,,,admin@cmhs-lab.com,,,,,,,199.0,,,,,,,,,,,
covid smart limited,+44 800 702 2145,,,,,hello@covidsmart.co.uk,,,www.covidsmart.co.uk,covidsmart.co.uk,,,169.0,,,,,,,,,,,
covid test,+44 330 133 4285,,,,,contact@001covidtest.co.uk,,,001covidtest.co.uk,,,,20.0,130.0,,,,,,,,,,
covid test centre,+44 1224 608702,,,,,support@covidtestcentre.net,,,www.covidtestcentre.net,,,,138.0,21.0,,,,,,,,,,
covid test hub,+44 20 7183 6465,,,,,info@covidtesthub.co.uk,,,,,,,159.0,,,,,,,,,,,
covid test pick and drop,+44 20 3371 8814,,,,,support@conceptoclinic.co.uk,,,covidtestpickanddrop.com,,,,99.0,,,,,,,,,,,
covid test today,,,,,,info@covid-test-today.com,,,,,,,140.0,,,,,,,,,,,
covid testing laboraratories,+44 333 335 0227,,,,,orders@covidtestinglaboratories.com,,,covidtestinglaboratories.com,,,,110.0,,,,,,,,,,,
covid testing laboratories,+44 333 242 0889,+44 333 335 0227,,,,orders@covidtestinglaboratories.com,orders@covidtesinglaboratories.com,,www.covidtestinglaboratories.com,www.ctls.co.uk,covidtestinglaboratories.com,,199.0,198.0,149.0,110.0,,,,,,,,
covid testing laboratories ltd,+44 333 242 0889,,,,,orders@covidtestinglaboratories.com,,,www.ctls.co.uk,,,,135.0,,,,,,,,,,,
covid travel clinics,+44 333 090 9494,,,,,info@covidtravelclinics.com,,,www.covidtravelclinics.com,,,,90.0,51.0,,,,,,,,,,
covid-19 travel clinic,+44 7731 398122,+44 205235632,,,,contact@covid19travelclinic.com,,,www.covid19travelclinic.com,covid19travelclinic.com,,,20.0,20.5,149.0,,,,,,,,,
covid19 checking,+44 330 133 1516,,,,,info@covid19checking.co.uk,,,covid19checking.co.uk,,,,175.0,135.98,,,,,,,,,,
covid19 health clinics limited,+44 121 794 7458,+44 20 3811 8545,,,,info@covid19healthclinics.com,,,,,,,199.0,,,,,,,,,,,
covidfly,+44 7973 507048,+44 7876 148666,,,,enquiries@covidfly.co.uk,,,www.covidfly.co.uk,,,,150.0,75.0,40.0,89.0,,,,,,,,
covido,+44 7572 188497,,,,,sales@covido.co.uk,,,www.covido.co.uk,,,,190.0,160.0,,,,,,,,,,
covitests,+44 800 009 6401,,,,,day2and8@covitests.co.uk,,,www.covitests.co.uk,,,,175.0,,,,,,,,,,,
coyne medical,+44 20 7731 3077,,,,,contact@coynemedical.com,,,coynemedical.com,,,,249.0,,,,,,,,,,,
coyne medical ltd,+44 20 7731 3077,,,,,contact@coynemedical.com,,,coynemedical.com,,,,209.0,,,,,,,,,,,
cq doctor,+44 333 404 9512,,,,,tests@cqdoctor.uk,help@cqdoctor.co.uk,,www.cqdoctor.co.uk,cqdoctor.co.uk,,,170.0,169.0,149.0,,,,,,,,,
crown laboratories ltd,+44 20 7193 3740,+44 7904 962101,,,,info@crownlabs-uk.com,,,www.crownlabs-uk.com,pysertesting.com,,,55.0,125.0,,,,,,,,,,
cryo express,+44 1254 56770,,,,,info@cryoexpresshq.com,,,www.cryoexpresshq.com,,,,199.0,,,,,,,,,,,
ct24 solutions ltd,+44 20 4533 8934,,,,,info@ct24.co.uk,,,ct24.co.uk,,,,190.0,115.0,85.0,20.0,,,,,,,,
ctm (nhs t&t),+44 20 7429 9983,,,,,covid.testkit@travelctm.com,,,quarantinehotelbookings.ctmportal.co.uk,,,,170.0,136.0,,,,,,,,,,
d&a screening ltd,+44 7724 459384,+44 116 442 2712,,,,support@dnascreening.uk,info@dnascreening.uk,,dnascreening.uk,www.dnascreening.uk,,,149.0,159.0,,,,,,,,,,
dajani pharmacy,+44 20 7589 8263,,,,,clinic@dajanipharmacy.com,,,www.dajanipharmacy.com,,,,200.0,,,,,,,,,,,
dante labs,+44 808 196 5659,,,,,contact@dantelabs.com,,,dantelabs.co.uk,www.dantelabs.co.uk,,,116.0,84.0,,,,,,,,,,
daya pharmacy,+44 20 8573 3084,,,,,dayapharm750@hotmail.com,,,pharmaelite.co.uk,,,,170.0,85.0,50.0,,,,,,,,,
dears pharmacy & travel clinic,+44 1383 723571,,,,,info@dearspharmacy.co.uk,,,dearspharmacy.co.uk,,,,195.0,,,,,,,,,,,
dgc health ltd,+44 7990 466916,,,,,admin@dgchealth.com,,,wwwdgchealth.com,www.dgchealth.com,,,200.0,165.0,,,,,,,,,,
digital health group ltd t/a pharma diagnostics,+44 20 8432 3309,,,,,info@pharmadiagnostics.co.uk,support@pcrdirect.co.uk,,pcrdirect.co.uk,,,,24.0,198.0,20.0,,,,,,,,,
dna workplace,+44 20 3943 5777,,,,,travel@dnaworkplace.com,,,www.dnaworkplace.com,,,,175.0,135.0,120.0,60.0,96.5,,,,,,,
dochq.co.uk,+44 330 088 0645,,,,,covidtesthelp@dochq.co.uk,,,dochq.co.uk,,,,205.0,,,,,,,,,,,
doctap,+44 20 7183 3254,,,,,covid19@doctap.co.uk,support@doctap.co.uk,,doctap.co.uk,,,,228.0,148.0,,,,,,,,,,
doctap ltd,+44 20 7183 3254,,,,,covid19@doctap.co.uk,,,doctap.co.uk,,,,228.0,218.0,188.0,,,,,,,,,
doctor driver assessment ltd,+44 800 001 6784,,,,,sales@doctordriverassessment.com,,,www.doctordriverassessment.com,,,,195.0,189.0,94.5,54.5,34.99,82.5,,,,,,
doctorcall limited,+44 344 257 0345,,,,,admin@doctorcall.co.uk,,,doctorcall.co.uk,,,,175.0,,,,,,,,,,,
doctors clinic group,+44 20 3993 4657,,,,,info@londondoctorsclinic.co.uk,,,www.londondoctorsclinic.co.uk,,,,219.0,198.0,,,,,,,,,,
doctors covid travel clinics,+44 333 090 9494,,,,,support@covidtravelclinics.com,,,www.covidtravelclinics.com,,,,20.0,125.0,35.0,,,,,,,,,
dorset private gp,+44 1202 583920,,,,,info@dpgpcovidtesting.co.uk,,,www.dpgpcovidtesting.co.uk,,,,240.0,220.0,198.0,,,,,,,,,
dr mo private clinic,+44 7749 723669,,,,,hello@drmoprivateclinic.co.uk,,,www.drmoprivateclinic.co.uk,,,,378.0,,,,,,,,,,,
dr mo private clinic norwich,+44 7749 723669,,,,,hello@drmoprivateclinic.co.uk,,,,,,,198.0,,,,,,,,,,,
dr shilpa dave private gp teddington,+44 20 3303 0326,,,,,covidtest@privategp.org,,,www.privategp.org,,,,250.0,,,,,,,,,,,
dr tim lebens,+44 20 7483 5148,,,,,info@drlebens.com,,,www.drlebens.com,,,,290.0,273.33,,,,,,,,,,
dr wayne cottrell,+44 20 3197 9100,,,,,contact@drwaynecottrell.com,,,,,,,198.0,,,,,,,,,,,
"dr wayne cottrell, private gp canary wharf",+44 20 3197 9100,,,,,contact@drwaynecottrell.com,,,www.drwaynecottrell.com,,,,230.0,198.0,,,,,,,,,,
dr. shilpa dave private gp teddington,+44 20 3303 0326,,,,,covidtest@privategp.org,,,www.privategp.org,,,,250.0,,,,,,,,,,,
dr. wayne cotrell & co.,+44 20 3197 9100,,,,,contact@drwaynecottrell.com,,,www.drwaynecottrell.com,,,,200.0,,,,,,,,,,,
duality health,+44 28 3083 3666,,,,,mail@dualityhealth.co.uk,,,www.dualityhealth.co.uk,,,,220.0,,,,,,,,,,,
east midlands laser and cosmetic clinic ltd,+44 7425 629538,,,,,eastmidlandslaser@btconnect.com,covidtesting@eastmidlandslaserclinic.co.uk,,emlcc.as.me,,,,230.0,190.0,,,,,,,,,,
easter pharmacy,+44 20 3488 8900,,,,,customerservices@myeasters.com,,,www.myeasters.com,,,,210.0,180.0,,,,,,,,,,
easy testing,+44 7519 426288,,,,,easytestingltd@gmail.com,,,www.easytests.co.uk,,,,199.0,195.0,,,,,,,,,,
easy testing ltd,+44 7519 426288,,,,,easytestingltd@gmail.com,,,www.easytests.co.uk,,,,195.0,150.0,,,,,,,,,,
edgbaston private medical practice,+44 121 454 9535,,,,,info@epmpractice.co.uk,,,www.epmpractice.co.uk,,,,199.0,,,,,,,,,,,
edgcare private community family doctors,+44 20 3818 9240,,,,,reception@edgcare.net,,,www.privatedoctorsnorthlondon.co.uk,,,,200.0,,,,,,,,,,,
effect doctors,+44 20 7305 7608,,,,,info@effectdoctors.com,,,effectdoctors.com,,,,198.0,175.0,,,,,,,,,,
elements medical,+44 1302 343432,,,,,covid-19travel@elements.org.uk,,,elements.org.uk,,,,198.0,150.0,130.0,,,,,,,,,
elite safety clinic,+44 7908 847341,,,,,info@elitesafetyclinic.com,,,,elitesafetyclinic.com,,,249.99,,,,,,,,,,,
em analytical ltd,+44 1625 813576,,,,,covid@emanalytical.co.uk,,,www.emanalytical.co.uk,,,,149.0,,,,,,,,,,,
empire medicines ltd t/a empire pharmacy,+44 161 258 6149,,,,,covid@empirepharmacy.co.uk,,,empirepharmacy.co.uk,,,,180.0,,,,,,,,,,,
enoura medical (af aesthetics),+44 20 7183 6465,+44 115 824 8444,,,,info@covidtesthub.co.uk,,,www.covidtesthub.co.uk,,,,159.0,,,,,,,,,,,
epistem,+44 161 541 2301,,,,,covid19@epistem.co.uk,,,,,,,149.0,,,,,,,,,,,
est-health wellness clinic,+44 141 230 5781,,,,,covid19@est-ethics.com,,,www.est-health.com,,,,185.0,139.0,,,,,,,,,,
eurofins,+44 1925 980595,,,,,covid19administration@eurofins.co.uk,,,www.eurofins.co.uk,,,,98.9,60.0,40.0,,,,,,,,,
eurofins forensic services,+44 1925 248802,,,,,covid19administration@eurofins.co.uk,,,www.eurofins.co.uk,,,,98.9,600.0,,,,,,,,,,
eurofins forensic services ltd,+44 1925 980595,,,,,covid19administration@eurofins.co.uk,,,www.eurofins.co.uk,,,,98.9,,,,,,,,,,,
everwell chinese medical centre ltd,+44 20 7434 1697,,,,,info@everwell.co.uk,,,www.everwell.co.uk,,,,159.0,,,,,,,,,,,
everything genetic,+44 1270 623179,,,,,info@everythinggeneticltd.co.uk,,,everythinggeneticltd.co.uk,,,,149.0,,,,,,,,,,,
everything genetic limited,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,covidsystembookings@everythinggeneticltd.co.uk,,covidtests.everythinggeneticltd.co.uk,,,,20.0,115.0,40.0,,,,,,,,,
everything genetic ltd,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,everythinggeneticltd.co.uk,covidtests.everythinggeneticltd.co.uk,,,119.0,99.0,87.99,115.0,,,,,,,,
everythinggeneticlimited,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,covidtests.everythinggeneticltd.co.uk,,,,20.0,,,,,,,,,,,
evolve medical,+44 113 873 0361,,,,,evolvecovid@outlook.com,,,www.evolvemedical.co.uk,,,,175.0,,,,,,,,,,,
excalibur diagnostics ltd,+44 20 3002 4824,,,,,enquiries@excaliburhealth.co.uk,,,testing.excaliburhealth.co.uk,,,,145.0,,,,,,,,,,,
expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,www.expertcovidtestinguk.com,,,,20.0,,,,,,,,,,,
expert doctors,+44 1274 270270,,,,,admin@expertdoctors.uk,support@expertdoctors.uk,,www.expertdoctors.uk,,,,59.99,70.0,32.0,24.0,9.99,117.99,27.99,20.0,120.0,35.0,,
expert medicals,+44 1274 905667,,,,,covid@expert-medicals.co.uk,,,www.expert-medicals.co.uk,,,,160.0,85.0,60.0,13.99,70.0,,,,,,,
expert tms limited,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,www.expertcovidtestinguk.com,,,,148.0,112.0,49.99,42.49,24.99,4.99,119.99,20.0,,,,
express testing,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,www.myexpresstesting.co.uk,,,,124.99,,,,,,,,,,,
expresstest by cignpost diagnostics,+44 20 3384 0000,,,,,info@expresstest.co.uk,,,www.expresstest.co.uk,,,,189.0,129.0,,,,,,,,,,
fakir chemist,+44 121 314 0789,,,,,info@fakirchemist.co.uk,,,www.fakirchemist.co.uk,,,,155.0,,,,,,,,,,,
family medics,+44 7483 172128,,,,,family.medics@srfoundation.co.uk,customerservice@srfoundation.co.uk,,srfoundation.co.uk,www.srfoundation.co.uk,,,199.0,159.0,,,,,,,,,,
first medical consultants,+44 1782 213214,,,,,info@firstmc.co.uk,,,www.firstmc.co.uk,,,,220.0,199.0,185.0,,,,,,,,,
fit to fly uk,+44 1708 981993,,,,,customercare@fittoflyuk.com,,,fittoflyuk.com,www.fittoflyuk.com,,,150.0,165.0,45.0,,,,,,,,,
fit2fly test ltd,+44 1625 813572,,,,,hello@fit2flytest.com,,,www.fit2flytest.com,,,,149.0,,,,,,,,,,,
fit2fly24/7 ltd,+44 330 133 3856,,,,,customerservices@fit2fly247.co.uk,,,www.fit2fly247.co.uk,,,,169.98,120.0,,,,,,,,,,
fitnessgenes,+44 1869 255770,,,,,support@fitnessgenes.com,,,coronavirus.fitnessgenes.com,,,,169.0,159.0,149.0,,,,,,,,,
flow living medi-care services,+44 20 8781 6935,+44 208786935,,,,covidappointments@flowmedicareservices.co.uk,,,www.flowmedicareservices.co.uk,,,,190.0,170.0,,,,,,,,,,
flysurance,,+44 333 090 3165,,,,info@flysurance.co.uk,,,www.flysurance.co.uk,,,,156.0,136.0,,,,,,,,,,
forensic genomics innovation hub ltd,+44 23 8011 8981,,,,,lab@fgih.co.uk,,,www.fgih.co.uk,,,,159.0,,,,,,,,,,,
fusion pharmacy,+44 116 367 7280,,,,,info@fusion-pharmacy.co.uk,,,fusion-pharmacy.co.uk,,,,195.0,,,,,,,,,,,
fusion radiology,+44 1582 249216,,,,,info@fusion-radiology.com,,,www.fusion-radiology.com,,,,196.0,,,,,,,,,,,
fusion radiology ltd,+44 1582 249216,,,,,info@fusion-radiology.com,,,www.fusion-radiology.com,,,,180.0,160.0,150.0,,,,,,,,,
future health technologies,+44 115 907 8610,,,,,covidsales@fhbb.com,,,futurehealthbiobank.com,,,,195.0,,,,,,,,,,,
future health technologies limited,+44 115 907 8610,,,,,covidsales@fhbb.com,,,futurehealthbiobank.com,,,,99.0,19.0,50.0,,,,,,,,,
future healthcare ltd,+44 23 9400 3825,,,,,testing@futurehealthcare.uk,,,www.futurehealthcare.uk,,,,186.0,,,,,,,,,,,
g16 covid testing,+44 20 3991 6494,+44 20 3991 6493,+44 20 3991 6463,,,info@coronatest.co.uk,arrivals@coronatest.co.uk,,www.coronatest.co.uk,,,,195.0,219.0,23.99,20.0,99.0,,,,,,,
genesis support (t/a fit to fly uk),+44 1708 981993,,,,,customercare@fittoflyuk.com,,,www.fittoflyuk.com,,,,185.0,,,,,,,,,,,
ghosh medical group,+44 333 200 3338,,,,,info@ghoshmedicalgroup.com,,,www.ghoshmedicalgroup.com,www.drarunghosh.co.uk,,,250.0,99.0,,,,,,,,,,
global covid19 testing,+44 7484 712747,,,,,ussie@globalcovidtestme.co.uk,,,globalcovid19testme.co.uk,,,,179.0,,,,,,,,,,,
global express travel health clinic,+44 7368 307175,,,,,infogethc@gmail.com,,,www.globalexpresstravelclinic.com,global-express-travel-health-clinic.selectandbook.com,,,210.0,,,,,,,,,,,
global express travel health clinic ltd,+44 7368 307175,,,,,infogethc@gmail.com,,,global-express-travel-health-clinic.selectandbook.com,,,,185.0,,,,,,,,,,,
global health travel clinic,+44 1932 943002,,,,,info@globalhealthtravelclinic.co.uk,,,www.globalhealthtravelclinic.co.uk,,,,200.0,,,,,,,,,,,
global health travel clinic - longcross surrey,+44 1932 943002,,,,,info@globalhealthtravelclinic.co.uk,,,www.globalhealthtravelclinic.co.uk,,,,200.0,,,,,,,,,,,
good egg medical,+44 20 8125 7003,,,,,swab@goodeggmedical.co.uk,,,goodeggmedical.co.uk,,,,200.0,189.0,170.0,95.0,,,,,,,,
good egg medical limited,+44 20 8125 7003,,,,,swab@goodeggmedical.co.uk,,,,,,,145.0,,,,,,,,,,,
goodbody clinic,+44 1225 444144,,,,,clinic@goodbodywellness.co.uk,,,www.goodbodyclinic.com,,,,215.0,,,,,,,,,,,
gpdq,+44 20 3805 1781,,,,,support@gpdq.co.uk,,,www.gpdq.co.uk,,,,198.0,,,,,,,,,,,
gpdq ltd,+44 20 3805 1781,,,,,support@gpdq.co.uk,,,www.gpdq.co.uk,,,,198.0,,,,,,,,,,,
guildhall pharmacy,+44 1303 259414,,,,,info@guildhallpharmacy.co.uk,,,,,,,135.0,,,,,,,,,,,
hale clinic harley street,+44 20 7631 0156,,,,,info@haleclinic.com,,,www.haleclinic.com,,,,260.0,130.0,95.0,49.0,199.0,38.0,125.0,,,,,
halo verify,+44 330904586,+44 330 390 4586,,,,info@haloverify.com,,,www.haloverify.com,,,,178.0,159.0,,,,,,,,,,
hampshire travel clinic,+44 1243 958686,,,,,info@hampshiretravelclinic.co.uk,,,hampshiretravelclinic.co.uk,,,,220.0,,,,,,,,,,,
"hampstead heath pharmacy, travel health & vaccination clinic",+44 20 7435 7075,,,,,info@hhpharmacy.co.uk,,,hhpharmacy.co.uk,,,,220.0,,,,,,,,,,,
harley medic international,+44 330 390 3666,,,,,info@harleymedic.co.uk,,,harleymedic.co.uk,www.harleymedic.co.uk,,,99.0,29.0,,,,,,,,,,
harley street dr,+44 20 3633 5765,,,,,concierge@harleystreetdr.com,,,www.harleystreetdr.com,,,,225.0,,,,,,,,,,,
harley street nurses,+44 20 7637 5511,,,,,covidtest@harleystreetnurses.com,,,www.harleystreetnurses.com,,,,210.0,,,,,,,,,,,
harley street nurses ltd,+44 20 7637 5511,,,,,covidtest@harleystreetnurses.com,,,www.harleystreetnurses.com,,,,111.0,,,,,,,,,,,
harleys pharmacy,+44 20 7589 8788,,,,,harleys.pharmacy1@nhs.net,,,www.nhs.uk,,,,210.0,,,,,,,,,,,
harleystreet,+44 20 3886 1301,,,,,help@01harleystreet.co.uk,,,01harleystreet.co.uk,,,,20.0,,,,,,,,,,,
harper institute ltd,+44 20 3150 3044,,,,,covid@iofpm.com,,,www.instituteofpreventativemedicine.com,,,,125.0,,,,,,,,,,,
harper medical ltd,+44 20 3150 3044,,,,,covid@iofpm.com,,,www.instituteofpreventativemedicine.com,,,,380.0,,,,,,,,,,,
harveyrhys clinic,+44 330 124 6530,,,,,testing@covidoc.co.uk,,,covidoc.co.uk,,,,150.0,,,,,,,,,,,
hawkes health,+44 800 193 6222,,,,,covidtest@hawkeshealth.com,,,www.hawkeshealth.com ,www.hawkeshealth.com,,,210.0,180.0,,,,,,,,,,
