,company_name,company_number_0,company_number_1,company_number_2,company_number_3,company_number_4,company_email_0,company_email_1,company_email_2,company_email_3,company_link_0,company_link_1,company_link_2,company_link_3
210,claret diagnostics ltd,,+44 333 577 0939,+44 7812 765833,,,customerservices@claretdiagnostics.coms.com,customerservices@claretdiagnostics.com,"
customerservices@claretdiagnostics.com
",,www.privatecovidtests.co.uk,,,
211,clear diagnostics,,,,,,customerservice@cleardiagnostics.co.uk,,,,www.cleardiagnostics.co.uk,,,
212,clear diagnostics ltd,+44 7424 637888,,,,,info@cleardiagnostics.co.uk,"
info@cleardiagnostics.co.uk
",,,www.cleardiagnostics.co.uk,,,
213,clinicare uk,,+44 7796 855535,,,,info@clinicare-uk.com,"
info@clinicare-uk.com
",,,clinicare-uk.com,,,
214,clnq,,+44 1565 362001,,,,hello@clnq.com,,,,www.clnq.com,,,
215,coker chest clinic,,+44 7923 385054,+44 20 7118 5600,,,info@chestclinic.co.uk,"
info@chestclinic.co.uk
",,,www.chestclinic.co.uk,,,
216,collingwood health,+44 1753 781654,,,,,testing@collingwoodhealth.com,"
testing@collingwoodhealth.com
",,,collingwoodhealth.com,,,
217,collinson,+44 1444 444140,,,,,consumerhelp@collinsongroup.com,"
consumerhelp@collinsongroup.com
",,,www.collinsongroup.com,,,
218,complete covid tests,+44 771012817,,,,,contact@completecovidtests.com,,,,completecovidtests.com,,,
219,concepto clinic,+44 20 3371 8814,,,,,support@conceptoclinic.co.uk,"
support@conceptoclinic.co.uk
",,,conceptoclinic.co.uk,,,
220,concierge medical,+44 1451 600900,,,,,covid@conciergemedical.co.uk,"
covid@conciergemedical.co.uk
",,,conciergemedical.co.uk,,,
221,concierge medical practice,+44 14510600900,,,,,covid@conciergemedical.co.uk,,,,www.conciergemedical.co.uk,,,
222,confirm testing,+44 20 3870 3623,,,,,info@confirmtesting.com,"
info@confirmtesting.com
",,,www.confirmtesting.com,,,
223,confirm testing limited,+44 20 3870 3623,,,,,info@confirmtesting.com,,,,www.confirmtesting.com,,,
224,consultant clinic,+44 161 399 0402,,,,,info@consultantclinic.org,"
info@consultantclinic.org
",,,consultantclinic.org,,,
225,coop pharmacy,,+44 1902 357660,,,,bilston.pharmacyhub@midcounties.coop,,,,www.cooppharmacy.coop,,,
226,corona test centre,+44 20 3983 7869,,,,,hello@coronatestcentre.com,"
hello@coronatestcentre.com
",,,www.coronatestcentre.com,,,
227,corona testing,+44 20 3642 2141,,,,,contact@corona-testing.com,,,,www.corona-testing.com,,,
228,corona-testing,+44 20 0262 6321,,,,,contact@corona-testing.com,,,,www.corona-testing.com,,,
229,coronafocus by oncologica uk,+44 1223 785327,,,,,test@covidprotected.co.uk,,,,covid19.oncologica.com,,,
230,coronafocus by oncologica uk ltd (t/a oncologica uk ltd),,+44 1223 785327,,,,test@covidprotected.co.uk,"
test@covidprotected.co.uk
",,,covid19.oncologica.com,,,
231,corporate covid tests,+44 20 3950 3394,,,,,info@1corporatecovidtests.com,,,,www.1corporatecovidtests.com,,,
232,cosmebeaute,+44 20 7935 1127,,,,,info@cosmebeaute.co.uk,,,,,,,
233,courtfield private practice,+44 20 7373 3541,,,,,covidtesting@courtfieldpp.co.uk,"
covidtesting@courtfieldpp.co.uk
",,,www.courtfieldpp.co.uk,,,
234,cov19 care,+44 330 555 0005,,,,,info@cov19care.co.uk,,,,www.cov19care.co.uk,,,
235,cov19care ltd,+44 330 555 0005,,,,,info@cov19care.co.uk,"
info@cov19care.co.uk
",,,,www.cov19care.co.uk,,
236,covguard,+44 20 4513 4000,,,,,info@covguard.com,"
info@covguard.com
",,,www.covguard.com,,,
237,covguard premium,+44 20 4513 4000,,,,,info@covguard.com,,,,www.covguard.com,,,
238,covid 19 private test ltd,,+44 330 133 3844,,,,info@covidtravelpcr.com,"
info@covidtravelpcr.com
",,,covidtravelpcr.com,,,
239,covid clear clinic,+44 7511 441999,,,,,enquiries@covidclearclinic.com,"
enquiries@covidclearclinic.com
",,,www.covidclearclinic.com,,,
240,"covid fit to fly tes t/a nash travel, tourism and transport services ltd.",+44 7795 388789,,,,,"
info@covidfittoflytest.co.uk
",,,,www.covidfittoflytest.co.uk,,,
241,covid mobile health services/remote trauma ld,+44 20 8546 3230,,,,,admin@cmhs-lab.com,,,,,,,
242,covid smart limited,+44 800 702 2145,,,,,hello@covidsmart.co.uk,"
hello@covidsmart.co.uk
",,,covidsmart.co.uk,www.covidsmart.co.uk,,
243,covid test,+44 330 133 4285,,,,,contact@001covidtest.co.uk,,,,001covidtest.co.uk,,,
244,covid test centre,+44 1224 608702,,,,,support@covidtestcentre.net,,,,www.covidtestcentre.net,,,
245,covid test hub,+44 20 7183 6465,,,,,info@covidtesthub.co.uk,,,,,,,
246,covid test pick and drop,+44 20 3371 8814,,,,,support@conceptoclinic.co.uk,,,,covidtestpickanddrop.com,,,
247,covid test today,,,,,,info@covid-test-today.com,,,,,,,
248,covid testing laboraratories,+44 333 335 0227,,,,,orders@covidtestinglaboratories.com,,,,covidtestinglaboratories.com,,,
249,covid testing laboratories,+44 333 242 0889,+44 333 335 0227,,,,orders@covidtestinglaboratories.com,"
orders@covidtestinglaboratories.com
",orders@covidtesinglaboratories.com,,www.covidtestinglaboratories.com,www.ctls.co.uk,covidtestinglaboratories.com,
250,covid testing laboratories ltd,+44 333 242 0889,,,,,"
orders@covidtestinglaboratories.com
",orders@covidtestinglaboratories.com,,,www.ctls.co.uk,,,
251,covid travel clinics,+44 333 090 9494,,,,,info@covidtravelclinics.com,,,,www.covidtravelclinics.com,,,
252,covid-19 travel clinic,+44 7731 398122,+44 205235632,,,,contact@covid19travelclinic.com,,,,www.covid19travelclinic.com,covid19travelclinic.com,,
253,covid19 checking,+44 330 133 1516,,,,,info@covid19checking.co.uk,,,,covid19checking.co.uk,,,
254,covid19 health clinics limited,,+44 121 794 7458,+44 20 3811 8545,,,info@covid19healthclinics.com,,,,,,,
255,covidfly,+44 7876 148666,+44 7973 507048,,,,enquiries@covidfly.co.uk,,,,www.covidfly.co.uk,,,
256,covido,+44 7572 188497,,,,,sales@covido.co.uk,"
sales@covido.co.uk
",,,www.covido.co.uk,,,
257,covitests,+44 800 009 6401,,,,,day2and8@covitests.co.uk,"
day2and8@covitests.co.uk
",,,www.covitests.co.uk,,,
258,coyne medical,+44 20 7731 3077,,,,,contact@coynemedical.com,"
contact@coynemedical.com
",,,coynemedical.com,,,
259,coyne medical ltd,+44 20 7731 3077,,,,,contact@coynemedical.com,,,,coynemedical.com,,,
260,cq doctor,,+44 333 404 9512,,,,help@cqdoctor.co.uk,"
tests@cqdoctor.uk
",tests@cqdoctor.uk,,www.cqdoctor.co.uk,cqdoctor.co.uk,,
261,crown laboratories ltd,+44 20 7193 3740,+44 7904 962101,,,,info@crownlabs-uk.com,,,,www.crownlabs-uk.com,pysertesting.com,,
262,cryo express,+44 1254 56770,,,,,info@cryoexpresshq.com,"
info@cryoexpresshq.com
",,,www.cryoexpresshq.com,,,
263,ct24 solutions ltd,+44 20 4533 8934,,,,,info@ct24.co.uk,"
info@ct24.co.uk
",,,ct24.co.uk,,,
264,ctm (nhs t&t),+44 20 7429 9983,,,,,covid.testkit@travelctm.com,"
covid.testkit@travelctm.com
",,,quarantinehotelbookings.ctmportal.co.uk,,,
265,d&a screening ltd,,+44 7724 459384,+44 116 442 2712,,,info@dnascreening.uk,"
support@dnascreening.uk
",,,www.dnascreening.uk,dnascreening.uk,,
266,dajani pharmacy,,+44 20 7589 8263,,,,clinic@dajanipharmacy.com,"
clinic@dajanipharmacy.com
",,,www.dajanipharmacy.com,,,
267,dante labs,+44 808 196 5659,,,,,contact@dantelabs.com,"
contact@dantelabs.com
",,,dantelabs.co.uk,www.dantelabs.co.uk,,
268,daya pharmacy,+44 20 8573 3084,,,,,dayapharm750@hotmail.com,"
dayapharm750@hotmail.com
",,,pharmaelite.co.uk,,,
269,dears pharmacy & travel clinic,,+44 1383 723571,,,,info@dearspharmacy.co.uk,"
info@dearspharmacy.co.uk
",,,dearspharmacy.co.uk,,,
270,dgc health ltd,+44 7990 466916,,,,,"
admin@dgchealth.com
",admin@dgchealth.com,,,wwwdgchealth.com,www.dgchealth.com,,
271,digital health group ltd t/a pharma diagnostics,+44 20 8432 3309,,,,,info@pharmadiagnostics.co.uk,support@pcrdirect.co.uk,,,pcrdirect.co.uk,,,
272,dna workplace,,+44 20 3943 5777,,,,travel@dnaworkplace.com,"
travel@dnaworkplace.com
",,,www.dnaworkplace.com,,,
273,dochq.co.uk,,+44 330 088 0645,,,,covidtesthelp@dochq.co.uk,,,,,dochq.co.uk,,
274,doctap,+44 20 7183 3254,,,,,support@doctap.co.uk,covid19@doctap.co.uk,,,doctap.co.uk,,,
275,doctap ltd,+44 20 7183 3254,,,,,"
covid19@doctap.co.uk
",covid19@doctap.co.uk,,,doctap.co.uk,,,
276,doctor driver assessment ltd,+44 800 001 6784,,,,,sales@doctordriverassessment.com,"
sales@doctordriverassessment.com
",,,www.doctordriverassessment.com,,,
277,doctorcall limited,+44 344 257 0345,,,,,admin@doctorcall.co.uk,,,,doctorcall.co.uk,,,
278,doctors clinic group,,+44 20 3993 4657,,,,info@londondoctorsclinic.co.uk,"
info@londondoctorsclinic.co.uk
",,,www.londondoctorsclinic.co.uk,,,
279,doctors covid travel clinics,+44 333 090 9494,,,,,support@covidtravelclinics.com,,,,www.covidtravelclinics.com,,,
280,dorset private gp,,+44 1202 583920,,,,info@dpgpcovidtesting.co.uk,"
info@dpgpcovidtesting.co.uk
",,,www.dpgpcovidtesting.co.uk,,,
281,dr mo private clinic,+44 7749 723669,,,,,hello@drmoprivateclinic.co.uk,"
hello@drmoprivateclinic.co.uk
",,,www.drmoprivateclinic.co.uk,,,
282,dr mo private clinic norwich,+44 7749 723669,,,,,hello@drmoprivateclinic.co.uk,,,,,,,
283,dr shilpa dave private gp teddington,+44 20 3303 0326,,,,,covidtest@privategp.org,,,,www.privategp.org,,,
284,dr tim lebens,,+44 20 7483 5148,,,,info@drlebens.com,"
info@drlebens.com
",,,www.drlebens.com,,,
285,dr wayne cottrell,,+44 20 3197 9100,,,,contact@drwaynecottrell.com,,,,,,,
286,"dr wayne cottrell, private gp canary wharf",+44 20 3197 9100,,,,,contact@drwaynecottrell.com,"
contact@drwaynecottrell.com
",,,www.drwaynecottrell.com,,,
287,dr. shilpa dave private gp teddington,+44 20 3303 0326,,,,,"
covidtest@privategp.org
",covidtest@privategp.org,,,www.privategp.org,,,
288,dr. wayne cotrell & co.,+44 20 3197 9100,,,,,contact@drwaynecottrell.com,,,,www.drwaynecottrell.com,,,
289,duality health,,+44 28 3083 3666,,,,mail@dualityhealth.co.uk,,,,www.dualityhealth.co.uk,,,
290,east midlands laser and cosmetic clinic ltd,,+44 7425 629538,,,,covidtesting@eastmidlandslaserclinic.co.uk,eastmidlandslaser@btconnect.com,"
eastmidlandslaser@btconnect.com
",,emlcc.as.me,,,
291,easter pharmacy,+44 20 3488 8900,,,,,customerservices@myeasters.com,"
customerservices@myeasters.com
",,,www.myeasters.com,,,
292,easy testing,+44 7519 426288,,,,,easytestingltd@gmail.com,"
easytestingltd@gmail.com
",,,www.easytests.co.uk,,,
293,easy testing ltd,+44 7519 426288,,,,,easytestingltd@gmail.com,"
easytestingltd@gmail.com
",,,www.easytests.co.uk,,,
294,edgbaston private medical practice,,+44 121 454 9535,,,,info@epmpractice.co.uk,"
info@epmpractice.co.uk
",,,www.epmpractice.co.uk,,,
295,edgcare private community family doctors,,+44 20 3818 9240,,,,reception@edgcare.net,,,,www.privatedoctorsnorthlondon.co.uk,,,
296,effect doctors,,+44 20 7305 7608,,,,info@effectdoctors.com,,,,effectdoctors.com,,,
297,elements medical,+44 1302 343432,,,,,covid-19travel@elements.org.uk,"
covid-19travel@elements.org.uk
",,,,elements.org.uk,,
298,elite safety clinic,,+44 7908 847341,,,,info@elitesafetyclinic.com,,,,elitesafetyclinic.com,,,
299,em analytical ltd,+44 1625 813576,,,,,covid@emanalytical.co.uk,,,,www.emanalytical.co.uk,,,
300,empire medicines ltd t/a empire pharmacy,,+44 161 258 6149,,,,covid@empirepharmacy.co.uk,,,,empirepharmacy.co.uk,,,
301,enoura medical (af aesthetics),+44 20 7183 6465,+44 115 824 8444,,,,info@covidtesthub.co.uk,,,,www.covidtesthub.co.uk,,,
302,epistem,+44 161 541 2301,,,,,covid19@epistem.co.uk,,,,,,,
303,est-health wellness clinic,+44 141 230 5781,,,,,covid19@est-ethics.com,"
covid19@est-ethics.com
",,,www.est-health.com,,,
304,eurofins,+44 1925 980595,,,,,covid19administration@eurofins.co.uk,,,,www.eurofins.co.uk,,,
305,eurofins forensic services,+44 1925 248802,,,,,covid19administration@eurofins.co.uk,,,,www.eurofins.co.uk,,,
306,eurofins forensic services ltd,+44 1925 980595,,,,,covid19administration@eurofins.co.uk,,,,www.eurofins.co.uk,,,
307,everwell chinese medical centre ltd,,+44 20 7434 1697,,,,info@everwell.co.uk,,,,www.everwell.co.uk,,,
308,everything genetic,+44 1270 623179,,,,,info@everythinggeneticltd.co.uk,,,,everythinggeneticltd.co.uk,,,
309,everything genetic limited,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,covidsystembookings@everythinggeneticltd.co.uk,,,covidtests.everythinggeneticltd.co.uk,,,
310,everything genetic ltd,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,"
covidtestbookings@everythinggeneticltd.co.uk
",,,everythinggeneticltd.co.uk,covidtests.everythinggeneticltd.co.uk,,
311,everythinggeneticlimited,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,,covidtests.everythinggeneticltd.co.uk,,,
312,evolve medical,+44 113 873 0361,,,,,evolvecovid@outlook.com,"
evolvecovid@outlook.com
",,,www.evolvemedical.co.uk,,,
313,excalibur diagnostics ltd,,+44 20 3002 4824,,,,enquiries@excaliburhealth.co.uk,,,,testing.excaliburhealth.co.uk,,,
314,expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
315,expert doctors,+44 1274 270270,,,,,support@expertdoctors.uk,admin@expertdoctors.uk,,,www.expertdoctors.uk,,,
316,expert medicals,+44 1274 905667,,,,,covid@expert-medicals.co.uk,"
covid@expert-medicals.co.uk
",,,www.expert-medicals.co.uk,,,
317,expert tms limited,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,"
enquiries@expertcovidtestinguk.com
",,,www.expertcovidtestinguk.com,,,
318,express testing,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,,www.myexpresstesting.co.uk,,,
319,expresstest by cignpost diagnostics,,+44 20 3384 0000,,,,info@expresstest.co.uk,"
info@expresstest.co.uk
",,,www.expresstest.co.uk,,,
320,fakir chemist,+44 121 314 0789,,,,,info@fakirchemist.co.uk,"
info@fakirchemist.co.uk
",,,www.fakirchemist.co.uk,,,
321,family medics,+44 7483 172128,,,,,family.medics@srfoundation.co.uk,customerservice@srfoundation.co.uk,,,srfoundation.co.uk,www.srfoundation.co.uk,,
322,first medical consultants,,+44 1782 213214,,,,info@firstmc.co.uk,"
info@firstmc.co.uk
",,,www.firstmc.co.uk,,,
323,fit to fly uk,+44 1708 981993,,,,,customercare@fittoflyuk.com,,,,fittoflyuk.com,www.fittoflyuk.com,,
324,fit2fly test ltd,+44 1625 813572,,,,,hello@fit2flytest.com,,,,www.fit2flytest.com,,,
325,fit2fly24/7 ltd,+44 330 133 3856,,,,,customerservices@fit2fly247.co.uk,"
customerservices@fit2fly247.co.uk
",,,www.fit2fly247.co.uk,,,
326,fitnessgenes,+44 1869 255770,,,,,support@fitnessgenes.com,"
support@fitnessgenes.com
",,,coronavirus.fitnessgenes.com,,,
327,flow living medi-care services,,+44 20 8781 6935,+44 208786935,,,covidappointments@flowmedicareservices.co.uk,"
covidappointments@flowmedicareservices.co.uk
",,,www.flowmedicareservices.co.uk,,,
328,flysurance,+44 333 090 3165,,,,,info@flysurance.co.uk,,,,www.flysurance.co.uk,,,
329,forensic genomics innovation hub ltd,+44 23 8011 8981,,,,,lab@fgih.co.uk,,,,www.fgih.co.uk,,,
330,fusion pharmacy,+44 116 367 7280,,,,,info@fusion-pharmacy.co.uk,"
info@fusion-pharmacy.co.uk
",,,fusion-pharmacy.co.uk,,,
331,fusion radiology,+44 1582 249216,,,,,info@fusion-radiology.com,"
info@fusion-radiology.com
",,,www.fusion-radiology.com,,,
332,fusion radiology ltd,,+44 1582 249216,,,,info@fusion-radiology.com,,,,www.fusion-radiology.com,,,
333,future health technologies,+44 115 907 8610,,,,,covidsales@fhbb.com,"
covidsales@fhbb.com
",,,futurehealthbiobank.com,,,
334,future health technologies limited,+44 115 907 8610,,,,,covidsales@fhbb.com,,,,futurehealthbiobank.com,,,
335,future healthcare ltd,+44 23 9400 3825,,,,,testing@futurehealthcare.uk,,,,www.futurehealthcare.uk,,,
336,g16 covid testing,+44 20 3991 6494,+44 20 3991 6493,+44 20 3991 6463,,,info@coronatest.co.uk,"
info@coronatest.co.uk
",arrivals@coronatest.co.uk,,www.coronatest.co.uk,,,
337,genesis support (t/a fit to fly uk),+44 1708 981993,,,,,customercare@fittoflyuk.com,"
customercare@fittoflyuk.com
",,,www.fittoflyuk.com,,,
338,ghosh medical group,+44 333 200 3338,,,,,info@ghoshmedicalgroup.com,"
info@ghoshmedicalgroup.com
",,,www.drarunghosh.co.uk,www.ghoshmedicalgroup.com,,
339,global covid19 testing,+44 7484 712747,,,,,ussie@globalcovidtestme.co.uk,,,,globalcovid19testme.co.uk,,,
340,global express travel health clinic,+44 7368 307175,,,,,infogethc@gmail.com,"
infogethc@gmail.com
",,,www.globalexpresstravelclinic.com,global-express-travel-health-clinic.selectandbook.com,,
341,global express travel health clinic ltd,+44 7368 307175,,,,,infogethc@gmail.com,,,,global-express-travel-health-clinic.selectandbook.com,,,
342,global health travel clinic,+44 1932 943002,,,,,info@globalhealthtravelclinic.co.uk,"
info@globalhealthtravelclinic.co.uk
",,,www.globalhealthtravelclinic.co.uk,,,
343,global health travel clinic - longcross surrey,,+44 1932 943002,,,,info@globalhealthtravelclinic.co.uk,"
info@globalhealthtravelclinic.co.uk
",,,www.globalhealthtravelclinic.co.uk,,,
344,good egg medical,+44 20 8125 7003,,,,,swab@goodeggmedical.co.uk,"
swab@goodeggmedical.co.uk
",,,goodeggmedical.co.uk,,,
345,good egg medical limited,+44 20 8125 7003,,,,,swab@goodeggmedical.co.uk,,,,,,,
346,goodbody clinic,+44 1225 444144,,,,,clinic@goodbodywellness.co.uk,"
clinic@goodbodywellness.co.uk
",,,www.goodbodyclinic.com,,,
347,gpdq,+44 20 3805 1781,,,,,support@gpdq.co.uk,"
support@gpdq.co.uk
",,,www.gpdq.co.uk,,,
348,gpdq ltd,+44 20 3805 1781,,,,,support@gpdq.co.uk,,,,www.gpdq.co.uk,,,
349,guildhall pharmacy,,+44 1303 259414,,,,info@guildhallpharmacy.co.uk,,,,,,,
350,hale clinic harley street,+44 20 7631 0156,,,,,info@haleclinic.com,"
info@haleclinic.com
",,,www.haleclinic.com,,,
351,halo verify,+44 330 390 4586,+44 330904586,,,,info@haloverify.com,"
info@haloverify.com
",,,www.haloverify.com,,,
352,hampshire travel clinic,+44 1243 958686,,,,,info@hampshiretravelclinic.co.uk,"
info@hampshiretravelclinic.co.uk
",,,hampshiretravelclinic.co.uk,,,
353,"hampstead heath pharmacy, travel health & vaccination clinic",+44 20 7435 7075,,,,,info@hhpharmacy.co.uk,"
info@hhpharmacy.co.uk
",,,hhpharmacy.co.uk,,,
354,harley medic international,+44 330 390 3666,,,,,info@harleymedic.co.uk,,,,harleymedic.co.uk,www.harleymedic.co.uk,,
355,harley street dr,+44 20 3633 5765,,,,,concierge@harleystreetdr.com,,,,www.harleystreetdr.com,,,
356,harley street nurses,+44 20 7637 5511,,,,,covidtest@harleystreetnurses.com,,,,www.harleystreetnurses.com,,,
357,harley street nurses ltd,+44 20 7637 5511,,,,,covidtest@harleystreetnurses.com,,,,www.harleystreetnurses.com,,,
358,harleys pharmacy,+44 20 7589 8788,,,,,harleys.pharmacy1@nhs.net,"
harleys.pharmacy1@nhs.net
",,,www.nhs.uk,,,
359,harleystreet,+44 20 3886 1301,,,,,help@01harleystreet.co.uk,,,,01harleystreet.co.uk,,,
360,harper institute ltd,+44 20 3150 3044,,,,,covid@iofpm.com,,,,www.instituteofpreventativemedicine.com,,,
361,harper medical ltd,+44 20 3150 3044,,,,,covid@iofpm.com,,,,www.instituteofpreventativemedicine.com,,,
362,harveyrhys clinic,+44 330 124 6530,,,,,testing@covidoc.co.uk,"
testing@covidoc.co.uk
",,,covidoc.co.uk,,,
363,hawkes health,+44 800 193 6222,,,,,"
covidtest@hawkeshealth.com
",covidtest@hawkeshealth.com,,,www.hawkeshealth.com ,www.hawkeshealth.com,,
364,heald green pharmacy,+44 161 498 9743,,,,,info@hgpharmacy.co.uk,"
info@hgpharmacy.co.uk
",,,smtravelclinic.co.uk,,,
365,healthclic,+44 20 3370 4034,,,,,covid@healthclic.co.uk,"
covid@healthclic.co.uk
",,,healthclic.co.uk,,,
366,healthium clinics,+44 1491 756015,,,,,info@healthiumclinics.com,"
info@healthiumclinics.com
",,,healthiumclinics.com,,,
367,healthwork,+44 161 831 9701,,,,,testing@healthworkltd.com,,,,healthworkltd.com,,,
368,healthwork ltd,+44 161 831 9701,,,,,testing@healthworkltd.com,"
testing@healthworkltd.com
",,,healthworkltd.com,,,
369,healthyaa clinic,,+44 116 467 0722,,,,book@healthyaa.co.uk,"
book@healthyaa.co.uk
",,,healthyaa.co.uk,,,
370,heart lung centre,+44 20 7034 3301,,,,,enquiries@heartlungcentre.com,"
enquiries@heartlungcentre.com
",,,heartlungcentre.com,,,
371,heathrow medical services,+44 20 8528 2633,,,,,covidtests@heathrowmedical.com,"
covidtests@heathrowmedical.com
",,,www.heathrowmedical.com,,,
372,heathrow medical services llp,+44 20 8528 2633,,,,,covidtests@heathrowmedical.com,,,,www.heathrowmedical.com,,,
373,helix services limited also t/a travel test assured,+44 113 871 5185,,,,,info@traveltestassured.com,,,,www.traveltestassured.com,,,
374,herts,+44 776833371,,,,,"
h.smart@mdnalifesciences.com
",,,,www.nph-group.co.uk,,,
375,hhh diagnostics,+44 161 806 0420,,,,,info@hhhdiagnostics.co.uk,,,,hhhdiagnostics.co.uk,,,
376,home2lab,+44 20 7117 2458,,,,,info@home2lab.co.uk,"
info@home2lab.co.uk
",,,home2lab.co.uk,,,
377,https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482,+44 117 313 5203,,,,,hello@occupationalhealthbristol.co.uk,,,,www.occupationalhealthbristol.co.uk,,,
378,i-gen testing,+44 333 577 1106,,,,,info@igentesting.co.uk,,,,www.igentesting.co.uk,,,
379,i-gen testing limited,+44 333 577 1106,,,,,info@igentesting.co.uk,"
info@igentesting.co.uk
",,,www.igentesting.co.uk,,,
380,ihomecare,,+44 20 3719 9784,,,,info@ihomecare.co,,,,www.ihomecare.co,,,
381,ingleton pharmacy,+44 15242 41154,,,,,ingleton.pharmacy@nhs.net,"
ingleton.pharmacy@nhs.net
",,,www.ingletonpharmacy.com,,,
382,insta care solutions limited,+44 7366 118247,,,,,info@instacaresoluions.co.uk,,,,www.instacaresolutions.co.uk,,,
383,iq  doctor,+44 7830 348783,,,,,help@iqdoctor.co.uk,,,,www.iqdoctor.co.uk,,,
384,iq doctor,+44 121 753 4928,,,,,help@iqdoctor.co.uk,"
help@iqdoctor.co.uk
",,,www.iqdoctor.co.uk,,,
385,iqdoctor,+44 121 753 4928,,,,,help@iqdoctor.co.uk,,,,www.iqdoctor.co.uk,,,
386,isac labs ltd,+44 20 7985 1203,,,,,info@isaclabs.co.uk,,,,isaclabs.co.uk,,,
387,jace medical,+44 7561 180683,,,,,testing@medchecks.ie,,,,jacemedical.co.uk,,,
388,jdoc medical limited,,+44 20 3656 5657,,,,covid19@jdoc365.co.uk,,,,jdoc365.co.uk,,,
389,jdoc medical limited ( t/a jdoc365),+44 20 3656 5657,,,,,covid19@jdoc365.co.uk,,,,jdoc365.co.uk,,,
390,jdoc medical limited (t/a jdoc365),+44 20 3656 5657,,,,,"
covid19@jdoc365.co.uk
",covid19@jdoc365.co.uk,,,www.jdoc365.co.uk,,,
391,jdoc medical linited (t/a jdoc365),+44 20 3656 5657,,,,,covid19@jdoc365.co.uk,,,,,,,
392,john bell & croyden,+44 20 7935 5555,,,,,pharmacy@johnbellcroyden.co.uk,"
pharmacy@johnbellcroyden.co.uk
",,,johnbellcroyden.co.uk,,,
393,js biomedical ltd,,+44 20 3927 2772,,,,admin@jsbiomedical.com,"
admin@jsbiomedical.com
",,,www.jsbiomedical.com,,,
394,just health,+44 1282 936900,,,,,info@justhealth.co.uk,"
info@justhealth.co.uk
",,,www.just-health.co.uk,,,
395,katalyst laboratories,+44 20 3755 2182,+44 20 7880 1804,,,,testing@wearekatalyst.com,,,,katalystlaboratories.com,katalysthealth.uk,,
396,kings medical centre,,+44 20 7723 7258,,,,info@kingsmedicalcentre.london,,,,kingsmedicalcentre.london,,,
397,klarity,+44 20 3239 9818,,,,,hello@getklarity.shop,,,,klarity.health,,,
398,klinical enterprises ltd t/a national covid testing,+44 116 304 6220,,,,,support@nationalcovidtesting.co.uk,,,,nationalcovidtesting.co.uk,,,
399,knightsbridge pharmacy,,+44 20 3581 3383,,,,hello@knightsbridge-pharmacy.com,"
hello@knightsbridge-pharmacy.com
",,,www.knightsbridge-pharmacy.com,,,
400,kurix health,,+44 808 196 5787,,,,hello@kurixhealth.co.uk,,,,www.kurixhealth.co.uk ,,,
401,kyl healthcare services limited t/as the honeybee private nurse clinic,+44 7500 771425,,,,,info@kylhealthcareservices.com,,,,kylhealthcareservices.co.uk,,,
402,la perla clinic,+44 1628 488499,,,,,laperlareception@gmail.com,"
laperlareception@gmail.com
",,,laperlaclinic.co.uk,,,
403,labmedexpert,+44 7460 818350,,,,,day2andday8@labmedexpert.co.uk,"
day2andday8@labmedexpert.co.uk
",,,labmedexpert.com,,,
404,labmedexpert limited,+44 1902 936051,+44 7460 818350,,,,day2andday8@labmedexpert.co.uk,,,,labmedexpert.com,patient.labmedexpert.co.uk,,
405,laser and light,+44 1509 266882,,,,,info@thelaserandlightclinic.co.uk,,,,www.thelaserandlightclinic.co.uk,,,
406,leeds covid testing,+44 113 534 7252,,,,,contact@leedscovidtesting.com,,,,www.leedscovidtesting.com,,,
407,leeds covid testing ltd,+44 113 534 7252,,,,,contact@leedscovidtesting.com,"
contact@leedscovidtesting.com
",,,www.leedscovidtesting.com,,,
408,leigh broadway pharmacy (elm road),+44 1702 474414,,,,,leighpharmacy.elm@gmail.com,,,,bansalspharmacy.co.uk,www.bansalspharmacy.co.uk,,
409,lifecrest ltd trading as (lifecrest medical laboratory),+44 1603 928868,,,,,admin@lifecrest.co.uk,,,,lifecrest.co.uk,,,
410,linbury doctors,+44 333 050 7338,,,,,covid@linburydoctors.co.uk,"
covid@linburydoctors.co.uk
",,,www.linburydoctors.co.uk,,,
411,live covid testing,,+44 330 223 5697,,,,info@livecovidtesting.co.uk,"
info@livecovidtesting.co.uk
",,,livecovidtesting.co.uk,,,
412,local pcr,+44 121 392 7342,+44 121 827 2723,,,,info@localpcr.com,"
info@localpcr.com
",,,,www.localpcr.com,,
413,locaton medical services ltd,,+44 330 321 7357,,,,covidtesting@locationmedical.com,,,,locationmedical.com,,,
414,london corona test centre,,+44 1895 671717,,,,tests@londoncoronatestcentre.com,"
tests@londoncoronatestcentre.com
",,,www.londoncoronatestcentre.com,,,
