,company_name,company_link,company_number,company_email
305,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
306,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
307,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
308,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
309,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
310,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
311,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
312,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
313,covid test today,,,info@covid-test-today.com
314,jdoc medical limited,jdoc365.co.uk,,covid19@jdoc365.co.uk
315,3a covid testing limited,3acovidtesting.com,+44 20 3371 1008,info@3acovidtesting.com
316,@corona tests,www.coronatests.com,+44 121 820 5555,info@coronatests.com
317,excalibur diagnostics ltd,testing.excaliburhealth.co.uk,,enquiries@excaliburhealth.co.uk
318,good egg medical limited,,+44 20 8125 7003,swab@goodeggmedical.co.uk
319,midland health,midlandhealth.co.uk,+44 333 772 1999,hello@midlandhealth.co.uk
320,northend clinic,northendclinic.co.uk,,enquiries@northendclinic.co.uk
321,recovery4life,www.recovery4life.co.uk,,bookings@recovery4life.co.uk
322,advisa medica,www.covidtestingclinic.co.uk,,doctor@doctorjlevy.com
323,doctap,doctap.co.uk,+44 20 7183 3254,support@doctap.co.uk
324,healthyaa clinic,healthyaa.co.uk,,book@healthyaa.co.uk
325,the health suite,thehealthsuite.co.uk,+44 116 241 0010,info@thehealthsuite.co.uk
326,the health suite,thehealthsuite.co.uk,+44 116 241 0010,info@thehealthsuite.co.uk
327,the health suite,thehealthsuite.co.uk,+44 116 241 0010,info@thehealthsuite.co.uk
328,the health suite,thehealthsuite.co.uk,+44 116 241 0010,info@thehealthsuite.co.uk
329,01pcrtravel london,pcrtravel.co.uk,+44 20 3475 7050,info@pcrtravel.co.uk
330,1 stop covid shop,www.1stopcovidshop.com,+44 033282821,contact@1stopcovidshop.com
331,123 clinics,123clinics.co.uk,+44 121 817 0999,info@123clinics.co.uk
332,ais covid testing ltd,www.aiscovid.com,+44 7942 322777,info@aiscovid.com
333,bupa occupational health ltd,www.bupa.co.uk,+44 161 497 0661,mycovidtest@bupa.com
334,centennial medical care,www.centennialmedical.co.uk,+44 20 3327 7777,info@centennialmedical.co.uk
335,cov19care ltd,,+44 330 555 0005,info@cov19care.co.uk
336,cq doctor,www.cqdoctor.co.uk,,help@cqdoctor.co.uk
337,em analytical ltd,www.emanalytical.co.uk,+44 1625 813576,covid@emanalytical.co.uk
338,fit2fly test ltd,www.fit2flytest.com,+44 1625 813572,hello@fit2flytest.com
339,sloane street testing,www.sloanestreettesting.co.uk,+44 20 3879 0019,testingcentre@sloanestreetsurgery.co.uk
340,the regenerative clinic,www.theregenerativeclinic.co.uk,+44 20 3637 5566,diagnostics@theregenerativeclinic.co.uk
341,travel test centre ltd,www.traveltestcentre.com,,info@traveltestcentre.com
342,worldwide travel health clinic,www.worldwidetravelhealth.co.uk,,info@worldwidetravelhealth.co.uk
343,the travel vaccine room,thetravelvaccineroom.co.uk,+44 7940 916597,info@thetravelvaccineroom.co.uk
344,+247 travel tests,www.247traveltests.com,+44 333 210 2247,info@247traveltests.com
345,121 covicall,121covicall.com,+44 7942 349166,info@121covicall.com
346,amin pharmacy,www.aminpharmacyhounslow.co.uk,+44 20 8570 9144,aminpharmacy@outlook.com
347,avante health private gp,www.avantetestcentre.co.uk,+44 333 006 9610,support@avantehealth.co.uk
348,biogroup laboratory,biogroup-laboratory.co.uk,+44 20 3885 0078,traveltestpackage@biogroup-laboratory.co.uk
349,blackburn travel clinic,blackburntravelclinic.co.uk,,info@blackburntravelclinic.co.uk
350,easy testing ltd,www.easytests.co.uk,+44 7519 426288,easytestingltd@gmail.com
351,fusion radiology ltd,www.fusion-radiology.com,,info@fusion-radiology.com
352,heald green pharmacy,smtravelclinic.co.uk,+44 161 498 9743,info@hgpharmacy.co.uk
353,isac labs ltd,isaclabs.co.uk,+44 20 7985 1203,info@isaclabs.co.uk
354,medical covid test,www.medicalcovidtest.com,+44 161 527 7960,support@medicalcovidtest.com
355,msh medical,,+44 800 029 1694,covidtesting@mshmedical.co.uk
356,national covid testing (klinical enterprises ltd),nationalcovidtesting.co.uk,+44 116 304 6220,support@nationalcovidtesting.co.uk
357,"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",www.peakpharmacy.co.uk,,pharmacy.online@pcthealthcare.com
358,uk event medics limited,www.ukeventmedicservices.co.uk,+44 1270 895177,info@ukeventmedics.net
359,yakub chemist,www.yakubchemist.co.uk,+44 116 251 2959,info@yakubchemist.co.uk
360,heathrow medical services llp,www.heathrowmedical.com,+44 20 8528 2633,covidtests@heathrowmedical.com
361,kings medical centre,kingsmedicalcentre.london,,info@kingsmedicalcentre.london
362,project screen by prenetics,www.projectscreen.co.uk,+44 300 303 2860,care@projectscreen.co.uk
363,covid 19 private test ltd,covidtravelpcr.com,,info@covidtravelpcr.com
364,101 covid travel clinic,www.covidtravelclinics.com,+44 333 090 9494,info@covidtravelclinics.com
365,al-shadhilli ltd,www.shifa-pharmacy.co.uk,,shifapharmacist@gmail.com
366,fakir chemist,www.fakirchemist.co.uk,+44 121 314 0789,info@fakirchemist.co.uk
367,masters (uk) limited t/a nechells pharmacy and masters pharmacy,,+44 121 314 3142,info@nechellspharmacy.co.uk
368,my local travel clinic,www.mylocaltravelclinic.co.uk,+44 121 314 5022,info@mylocaltravelclinic.co.uk
369,occupational health prime,www.covid.ohprime.co.uk,,covidtesting@ohprime.co.uk
370,pennfields pharmacy,www.travel-vaccination.co.uk,+44 1902 341300,info@pennfieldspharmacy.co.uk
371,pharmacy led clinic,pharmacyledclinic.co.uk,,info@masterspharmacy.co.uk
372,pharmesthetics ltd (t/a http://www.samedayclinic.co.uk),www.samedayclinic.co.uk,+44 20 8050 4353,info@pharmesthetics.com 
373,weston road pharmacy,www.travel-vaccination.co.uk,+44 1785 248888,info@westonroadpharmacy.co.uk
374,flysurance,www.flysurance.co.uk,,info@flysurance.co.uk
375,xana medtec ltd,www.xanamedtec.com,+44 161 974 6518,info@xanamedtec.com
376,20/30 labs,www.2030lab.com,+44 1604 265119,2and8@2030lab.com
377,ask chemist,askchemist.co.uk,+44 1205 352778,enquiries@askchemist.co.uk
378,"cheltenham, west midlands & worcester travel clinics",raylanetravelclinics.co.uk,,covidtest@raylane.co.uk
379,covid test hub,,+44 20 7183 6465,info@covidtesthub.co.uk
380,d&a screening ltd,www.dnascreening.uk,,info@dnascreening.uk
381,everwell chinese medical centre ltd,www.everwell.co.uk,,info@everwell.co.uk
382,halo verify,www.haloverify.com,+44 330 390 4586,info@haloverify.com
383,mare st clinic,www.marestclinic.co.uk,+44 20 3488 7351,info@marestclinic.co.uk
384,one scientific ltd,onescientific.co.uk,,covidenquiries@onescientific.co.uk
385,vsm pharmacy,www.vsmpharmacy.co.uk,,digital@vsmpharmacy.co.uk
386,the city & travel clinic,,,admin@thecityandtravelclinic.com
387,the travel health clinic,thetravelhealthclinic.co.uk,+44 7851 848773,cv19clinic@gmail.com
388,10 hs linknurse clinic london,www.linknurse.co.uk,+44 20 3950 8134,10harley@linknurse.co.uk
389,biotherapy services,www.rapidcovidtesting.org.uk,+44 20 7112 4964,info@rapidcovidtesting.org.uk
390,check my body health,checkmybodyhealth.com,+44 1604 930250,covidteam@checkmybodyhealth.com
391,coker chest clinic,www.chestclinic.co.uk,,info@chestclinic.co.uk
392,concierge medical practice,www.conciergemedical.co.uk,+44 14510600900,covid@conciergemedical.co.uk
393,covido,www.covido.co.uk,+44 7572 188497,sales@covido.co.uk
394,helix services limited also t/a travel test assured,www.traveltestassured.com,+44 113 871 5185,info@traveltestassured.com
395,orchard clinic / orchard blood,orchardblood.co.uk,,pa@orchard-clinic.co.uk
396,pulmonics,,,contact@pulmonics.co.uk
397,alexandru livinschi (t/a gat c-19),covid19getatest.co.uk,+44 20 7520 9236,office@covid19getatest.co.uk
398,clear diagnostics,www.cleardiagnostics.co.uk,,customerservice@cleardiagnostics.co.uk
399,corona testing,www.corona-testing.com,+44 20 3642 2141,contact@corona-testing.com
400,synlab,humanmedicine.synlab.co.uk,+44 333 014 3760,testtorelease@synlab.co.uk
401,test assurance group,testassurancegroup.com,+44 330 118 0008,testing@testassurancegroup.com
402,tuli health,portal.tuli.health,,info@tuli.health
403,vaccination uk ltd,travelvaccination.co.uk,,admin@vaccinationuk.co.uk
404,the clinic mk ltd,www.theclinicmk.co.uk,+44 1908 309290,info@theclinicmk.co.uk
405,123 covid labs,www.123labs.co.uk,+44 113 521 7944,support@123labs.co.uk
406,15 minute covid test,www.15minutecovidtest.co.uk,+44 20 3369 0075,info@15minutecovidtest.co.uk
407,afforable tfnow,londontest.co.uk,+44 141 628 5667,day28@londontest.co
408,arrivinguk,arrivinguk.com,+44 330 024 9176,info@arrivinguk.com
409,candarin medical,candarinmedical.com,+44 7906 873581,sophia@candarinuk. com
410,collingwood health,collingwoodhealth.com,+44 1753 781654,testing@collingwoodhealth.com
411,covid clear clinic,www.covidclearclinic.com,+44 7511 441999,enquiries@covidclearclinic.com
412,covid smart limited,covidsmart.co.uk,+44 800 702 2145,hello@covidsmart.co.uk
413,london medical laboratory / private coronavirus tests,www.privatecoronavirustests.com,+44 20 7183 3718,info@londonmedicallaboratory.co.uk
414,medwyn occupational health,medwynoh.co.uk,,covid19@medwynoh.co.uk
415,private harley street clinic,privateharleystreetclinic.com,+44 20 3916 5990,info@privateharleystreetclinic.com
416,pulteney pharmacy,www.pulteneypharmacy.com,+44 1225 466454,pulpharm@gmail.com
417,the melton clinic,,+44 1664 650550,info@themeltonclinic.co.uk
418,1 covclinics,www.covclinics.co.uk,+44 161 529 5488,info@covclinics.co.uk
419,sterling testing,www.sterlingtesting.co.uk,,bookings@sterlingtesting.co.uk
420,agg coventry ltd ta vantage chemist,www.vantagechemistcoventry.com,+44 24 7622 2985,vantagechemist@btconnect.com
421,chronomics,www.chronomics.com,+44 20 4519 7400,support@chronomics.com
422,clinicare uk,clinicare-uk.com,,info@clinicare-uk.com
423,flow living medi-care services,www.flowmedicareservices.co.uk,,covidappointments@flowmedicareservices.co.uk
424,pharmasuite,pharmasuite.co.uk,,info@pharmasuite.co.uk
425,travel centre clapham ltd,www.travelcentreclapham.com,,covidtests@travelcentreclapham.com
426,world travel clinic,www.thepharmshop.com,,hello@worldtravelclinic.co.uk
427,your gp circle,yourgpcircle.co.uk,+44 333 800 5202,hello@yourgpcircle.co.uk
428,zen healthcare (purecare ltd),www.zenhealthcare.co.uk,+44 20 7225 1660,testing@zenhealthcare.co.uk
429,"t/a nash travel, tourism and transport services ltd",www.covidfittoflytest.co.uk,,info@covidfittoflytest.co.uk
430,arrival test centre,arrivaltestcenter.com,+44 075101828,contact@arrivaltestcenter.com
431,covitests,www.covitests.co.uk,+44 800 009 6401,day2and8@covitests.co.uk
432,doctorcall limited,doctorcall.co.uk,+44 344 257 0345,admin@doctorcall.co.uk
433,effect doctors,effectdoctors.com,,info@effectdoctors.com
434,js biomedical ltd,www.jsbiomedical.com,,admin@jsbiomedical.com
435,nph group,www.nph-group.co.uk,,testing@nph-group.co.uk
436,research consultancy and health ltd,rcandh.com,+44 7904 697060,covid19test@rcandh.com
437,roshni clinic,www.roshniclinic.com,+44 333 050 7138,info@roshniclinic.co.uk
438,red 1 response,covid.red1response.com,,hello@red1response.com
439,3six health,3sixtesting.co.uk,+44 330 133 4208,support@3sixhealth.co.uk
440,blue horizon medicals,www.bluehorizonbloodtests.co.uk,+44 800 999 1110,assistance@bluehorizonmedicals.co.uk
441,global covid19 testing,globalcovid19testme.co.uk,+44 7484 712747,ussie@globalcovidtestme.co.uk
442,rapid health test,rapidhealthtest.com,+44 1872 229740,info@rapidhealthtest.com
443,somdoc ltd / home2lab,home2lab.co.uk,,hello@home2lab.co.uk
444,alphamedicol ltd,alphamedicol.co.uk,,info@alphamedicol.co.uk
445,anglo belgravia,www.bg-london.com,+44 7724 201894,covid@bg-london.com
446,avicenna health,www.avicenna-health.com,,covid@avicenna-health.com
447,church pharmacy weybridge,churchpharmacyclinic.co.uk,,orders@churchpharmacyclinic.co.uk
448,covguard,www.covguard.com,+44 20 4513 4000,info@covguard.com
449,easter pharmacy,www.myeasters.com,+44 20 3488 8900,customerservices@myeasters.com
450,empire medicines ltd t/a empire pharmacy,empirepharmacy.co.uk,,covid@empirepharmacy.co.uk
451,longridge travel health clinic,www.longridgetravelhealthclinic.com,,info@longridgetravelhealthclinic.com
452,med24 limited,www.med24.clinic,+44 20 3987 4200,covid-19@med24.clinic
453,midland covid testing limited,mlandtestingkit.uk,,support@mlandtestingkit.uk
454,001 digital health group ltd t/a pharma diagnostics,pcrdirect.co.uk,+44 20 8432 3309,info@pcrdirect.co.uk
455,first medical consultants,www.firstmc.co.uk,,info@firstmc.co.uk
456,global express travel health clinic ltd,global-express-travel-health-clinic.selectandbook.com,+44 7368 307175,infogethc@gmail.com
457,london vaccination clinic,shop.londonvaccinationclinic.co.uk,,katy.peters@360health.co.uk
458,masta,www.masta-travel-health.com,,enquiries@masta.org
459,polaris medical services ltd,www.polarismedical.co.uk,+44 1923 545814,covid-19@pmgoc.com
460,east midlands laser and cosmetic clinic ltd,emlcc.as.me,,covidtesting@eastmidlandslaserclinic.co.uk
461,nhl pharmacy,getavaccine.co.uk,,esales@nhlpharmacy.co.uk
462,north devon travel clinic,www.northdevontravelclinic.co.uk,+44 1272 373346,covidtest@northdevontravelclinic.co.uk
463,nutraceuticals laboratory london limited,nutraceuticalslondon.co.uk,,info@nutraceuticalslondon.co.uk
464,skc occupational health oxford,suchantry.com,+44 1235 606080,su@skcoccupationalhealth.org
465,totley pharmacy ltd,www.totleypharmacy.co.uk,+44 114 236 1070,totleypharmacyrepeats@hotmail.co.uk
466,vitacheck,,,info@vitacheck.health
467,c & h esher limited (t/a central pharmacy),www.centralpharmacyesher.com,,covidtestbookings@candhesher.com
468,clnq,www.clnq.com,,hello@clnq.com
469,dears pharmacy & travel clinic,dearspharmacy.co.uk,,info@dearspharmacy.co.uk
470,fusion pharmacy,fusion-pharmacy.co.uk,+44 116 367 7280,info@fusion-pharmacy.co.uk
471,just health,www.just-health.co.uk,+44 1282 936900,info@justhealth.co.uk
472,local pcr,,+44 121 392 7342,info@localpcr.com
473,my private chemist,myprivatechemist.com,+44 20 3987 9202,info@myprivatechemist.com
474,rb health and safety solutions ltd,www.rbhealthandsafety.co.uk,,charlotte.collyer@rbhealthandsafety.co.uk
475,the medic clinic,medicclinic.co.uk,+44 1234 880079,info@medicclinic.co.uk
476,circular 1 health ltd,circular1.com,+44 800 799 9751,customerservice@circular1.com
477,doctors clinic group,www.londondoctorsclinic.co.uk,,info@londondoctorsclinic.co.uk
478,dorset private gp,www.dpgpcovidtesting.co.uk,,info@dpgpcovidtesting.co.uk
479,dr mo private clinic norwich,,+44 7749 723669,hello@drmoprivateclinic.co.uk
480,dr wayne cottrell,,,contact@drwaynecottrell.com
481,gpdq ltd,www.gpdq.co.uk,+44 20 3805 1781,support@gpdq.co.uk
482,leeds covid testing,www.leedscovidtesting.com,+44 113 534 7252,contact@leedscovidtesting.com
483,leigh broadway pharmacy (elm road),bansalspharmacy.co.uk,+44 1702 474414,leighpharmacy.elm@gmail.com
484,physiofunction,www.physiofunction.co.uk,+44 1327 842321,testing@physiofunction.co.uk
485,queen anne street medical centre,heartlungcentre.com,,enquiries@qasmc.com
486,rosalyn’s medical and wellbeing clinic,rosalynsmedical.com,+44 1924 654105,info@rosalynsmedical.com
487,121 pure testing,puretesting.co.uk,+44 121 293 0414,hello@puretesting.co.uk
488,corona test centre,www.coronatestcentre.com,+44 20 3983 7869,hello@coronatestcentre.com
489,covid mobile health services/remote trauma ld,,+44 20 8546 3230,admin@cmhs-lab.com
490,covid19 health clinics limited,,,info@covid19healthclinics.com
491,covid19 health clinics limited,,,info@covid19healthclinics.com
492,cryo express,www.cryoexpresshq.com,+44 1254 56770,info@cryoexpresshq.com
493,edgbaston private medical practice,www.epmpractice.co.uk,,info@epmpractice.co.uk
494,physiowork therapy uk ltd,www.physiowork.co.uk,+44 1842 630014,contact@physiowork.co.uk
495,reviv uk,reviv-pcr.co.uk,+44 161 209 3754,ukdiagnostics@revivme.com
496,south west london covid 19 testing centre,www.swltest.com,,info@swltest.com
497,summerfield healthcare,www.summerfieldhealthcare.co.uk,+44 333 900 0010,covidtesting@summerfieldhealthcare.co.uk
498,the guildhall practice,theguildhallpractice.co.uk,+44 121 441 2626,covidtest@theguildhallpractice.co.uk
499,vivo clinic,vivoclinic.com,+44 333 305 8486,pcrtest@vivoteam.co.uk
500,dajani pharmacy,www.dajanipharmacy.com,,clinic@dajanipharmacy.com
501,edgcare private community family doctors,www.privatedoctorsnorthlondon.co.uk,,reception@edgcare.net
502,global health travel clinic - longcross surrey,www.globalhealthtravelclinic.co.uk,,info@globalhealthtravelclinic.co.uk
503,medi-park clinic,,+44 20 8341 3185,booking@mediparkclinic.uk
504,samedaydoctor manchester,questionnaire.heydoc.co.uk,+44 161 827 7868,manchester@samedaydoctor.co.uk
505,the express clinic,www.theexpressclinic.com,+44 20 3893 2621,info@theexpressclinic.com
506,dochq.co.uk,,,covidtesthelp@dochq.co.uk
507,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
508,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
509,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
510,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
511,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
512,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
513,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
514,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
515,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
516,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
517,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
518,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
519,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
520,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
521,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
522,lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net
523,coyne medical ltd,coynemedical.com,+44 20 7731 3077,contact@coynemedical.com
524,your private health,yourprivatehealth.co.uk,,info@yourprivatehealth.co.uk
525,12-14 pharmacy,www.theacornpharmacy.com,+44 7724 573336,1214pharmacyltd@gmail.com
526,london elite health,covid.londonelitehealth.com,+44 20 7486 0701,info@londonelitehealth.com
527,mdx healthcare ltd t/a medix,mdxhealthcare.com,,covid@mdxhealthcare.com
528,medi-swift,www.manchestercovidtesting.co.uk,+44 7889 135743,admin@medi-swift.co.uk
529,olive health & travel clinic,booking.olivehealthandtravel.co.uk,+44 20 8550 2276,contact@olivehealthandtravel.co.uk
530,private gp clinic,www.privategpclinic.co.uk,+44 1932 344004,covidtest@surreyberkshire.co.uk
531,pureflo health ltd,pureflohealth.co.uk,+44 20 3475 3426,contact@pureflohealth.co.uk
532,solice health ltd,www.solice.health,,contact@solice.health
533,solihull health check clinic,www.solihullhealthcheckclinic.co.uk,+44 121 745 7400,connect@shcc.co.uk
534,wren healthcare,wrenhealthcare.co.uk,+44 20 3974 6950,results@wrenhealthcare.co.uk
535,wren healthcare,wrenhealthcare.co.uk,+44 20 3974 6950,results@wrenhealthcare.co.uk
536,yourhealthfirst clinic,covid19.yourhealthfirst.uk,+44 20 7225 3582,info@yourhealthfirst.uk
537,goodbody clinic,www.goodbodyclinic.com,+44 1225 444144,clinic@goodbodywellness.co.uk
538,shantys pharmacy,shantyspharmacy.com,+44 20 7247 2140,info@shantyspharmacy.com
539,ramss limited,www.ramss.co.uk,,office@ramss.co.uk
540,affinity health,www.affinityhealth.uk,,support@affinityhealth.uk
541,medicspot,www.medicspot.co.uk,,tests@medicspot.co.uk
542,duality health,www.dualityhealth.co.uk,,mail@dualityhealth.co.uk
543,hampshire travel clinic,hampshiretravelclinic.co.uk,+44 1243 958686,info@hampshiretravelclinic.co.uk
544,"hampstead heath pharmacy, travel health & vaccination clinic",hhpharmacy.co.uk,+44 20 7435 7075,info@hhpharmacy.co.uk
545,southdowns private healthcare,www.southdownsprivatehealthcare.co.uk,+44 330 220 2000,info@southdownsprivatehealthcare.co.uk
546,top health clinic,tophealthclinic.co.uk,+44 20 8123 4510,info@tophealthclinic.co.uk
547,harley street dr,www.harleystreetdr.com,+44 20 3633 5765,concierge@harleystreetdr.com
548,medinow,medinow.co.uk,+44 20 3488 6537,info@medinow.co.uk
549,msi clinics limited,www.msiclinics.com,+44 20 4522 9103,info@msiclinics.com
550,london nutrition doctor,access.londonnutritiondoctor.com,+44 7533 660637,pa@londonnutritiondoctor.com
551,the walcote practice,thewalcotepractice.co.uk,+44 1962 828715,info@thewalcotepratice.co.uk
552,agilis health,agilishealth.co.uk,+44 1592 269570,help@agilishealth.co.uk
553,sevenoaks gp t/a the private gp clinic,www.theprivategpclinic.co.uk,,info@theprivategpclinic.co.uk
554,258 postal racoo screening ltd,www.racoorapidtesting.com,,info@racoo.co.uk
555,chase lodge hospital,www.chaselodgehospital.com,+44 20 8358 7100,info@chaselodgehospital.com
556,mayfield clinic,www.mayfieldclinic.co.uk,,info@mayfieldclinic.co.uk
557,midland covid testing,midlandcovidtesting.co.uk,+44 333 366 0837,info@midlandcovidtesting.co.uk
558,tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk
559,tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk
560,tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk
561,tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk
562,elite safety clinic,elitesafetyclinic.com,,info@elitesafetyclinic.com
563,aesthetika clinic,www.aesthetika.co.uk,,info@aesthetika.co.uk
564,an sf screening and vaccination service,www.sfvaccinations.co.uk,,info@sfvaccinations.co.uk
565,chelsea pharmacy medical clinic,cpmedicalclinic.com,+44 20 7589 8776,contact@cpmedicalclinic.com
566,dr shilpa dave private gp teddington,www.privategp.org,+44 20 3303 0326,covidtest@privategp.org
567,mayfair doctors,www.mayfairdoctors.com,+44 20 7499 1581,covidtest@mayfairdoctors.com
568,medical,samedaycoronavirustests.com,+44 7843 988660,info@samedaycoronavirustests.com
569,moore medical practice,www.mooremedicalpractice.co.uk,,info@mooremedicalpractice.co.uk
570,pcr labs,pcrlabs.co.uk,+44 20 3105 0545,info@pcrlabs.co.uk
571,remedi health,remedihealth.co,+44 1962 396695,support@remedihealth.co
572,the palace gate practice limited,www.palacegatepractice.com,+44 20 7244 5806,covidtesting@palacegatepractice.com
573,the pharmacy at mayfair and clinic,www.pharmacymayfair.co.uk,+44 7958 499522,pharmacyatmayfair@gmail.com
574,the wellness people ltd,,,roshni@thewellnesspeople.co
575,vitox,vitox.co.uk,+44 20 7268 4915,info@vitox.co.uk
576,winchester gp,winchestergp.com,+44 1962 776010,reception@winchestergp.com
577,winchester gp,winchestergp.com,+44 1962 776010,reception@winchestergp.com
578,your doctor film and media,yourdoctorfm.com,,info@yourdoctorfm.com
579,medical and rescue,www.medicalandrescue.co.uk,,enquires@medicalandrescue.co.uk
580,the london general practice,www.thelondongeneralpractice.com,,info@thelondongeneralpractice.com
581,healthclic,healthclic.co.uk,+44 20 3370 4034,covid@healthclic.co.uk
582,one5 health,www.one5.health,+44 20 3488 4415,care@one5.health
583,dr tim lebens,www.drlebens.com,,info@drlebens.com
584,29 fleet street ltd t/a fleet street clinic,fleetstreetclinic.com,,testandrelease@fleetstreetclinic.com
585,sloane square medical,www.sloanesquaremedical.org,+44 20 7730 8835,manager@sloanesquaremedical.org
586,the new foscote hospital,thefoscotehospital.co.uk,,covidtesting@foscote.hospital
587,mayfair pharmacy,londonpcr.com,+44 20 7629 7999,mayfairhealthltd@gmail.com
588,test to you,testtoyou.co.uk,,customercare@testtoyou.co.uk
589,samedaydoctor city clinic,www.samedaydoctor.org,+44 20 3871 6015,city@samedaydoctor.co.uk
590,visithealth limited,visithealth.london,+44 20 3795 5811,hello@visithealth.co.uk
591,roc health services,rochealthservices.com,+44 1224 515254,covid19@rochealthservices.com
592,roc health services,rochealthservices.com,+44 1224 515254,covid19@rochealthservices.com
593,medic 1 direct,www.medic1.co.uk,+44 845 004 4999,covid19@medic1.co.uk
594,0044healthtesting,0044healthtesting.co.uk,+44 1228 112411,mail@0044healthtesting.co.uk
595,cht,,,contact@covidhometest.co
596,knightsbridge pharmacy,www.knightsbridge-pharmacy.com,,hello@knightsbridge-pharmacy.com
597,the whitehall clinic,www.whitehallclinic.com,+44 113 833 4900,hello@whitehallclinic.com
598,locaton medical services ltd,locationmedical.com,,covidtesting@locationmedical.com
599,chelsea medical,www.chelsealondondoctor.com,+44 20 7589 2353,cm@chelsealondondoctor.com
600,london medical concierge,londonmedicalconcierge.com,+44 20 7305 5590,experts@londonmedicalconcierge.com
601,the mayfair gp,,+44 7568 369455,info@themayfairgp.com
602,laser and light,www.thelaserandlightclinic.co.uk,+44 1509 266882,info@thelaserandlightclinic.co.uk
603,mdna life sciences,www.nph-group.co.uk,+44 776833371,h.smart@mdnalifesciences.com
604,eurofins forensic services,www.eurofins.co.uk,+44 1925 248802,covid19administration@eurofins.co.uk
605,1 covclinics,www.1covclinics.co.uk,+44 161 529 5488,info@covclinics.co.uk
606,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
607,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
608,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
609,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
610,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
611,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
612,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
613,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
614,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
615,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
616,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
617,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk
618,same day clinic,www.samedayclinic.co.uk,+44 20 8050 4353,info@pharmesthetics.com
619,everything genetic ltd,everythinggeneticltd.co.uk,+44 1270 623179,covidtestbookings@everythinggeneticltd.co.uk
620,alphabiolabs,www.alphabiolabs.co.uk,+44 1925 255450,covid@alphabiolabs.com
