,company_link_0,company_link_1,company_link_2,company_link_3,company_name
527,awful terrible ,,,,pexpo diagnostics
528,,,,,pharmacy led clinic
529,,,,,pharmasuite
530,poor negative,,,,pharmesthetics ltd
531,poor negative,,,,pharmesthetics ltd (t/a http://www.samedayclinic.co.uk)
532,,,,,physiofunction
533,,,,,physiowork therapy uk ltd
534,    expensive busy  terrible offer  down    fatal      ,,,,pillhub-feltham pharmacy
535,,,,,polaris medical services ltd
536,,,,,premier clinic ltd
537,,,,,private gp clinic
538,,,,,private gp services uk ltd
539,,,,,private gp teddington
540, problems bad horrible poor bad fake disrespectful  poor deserve avoid terrible real       stressful       misleading     problems   nicest cost cost cost,,,,private harley street clinic
541,,,,,private-testing-providers london cloudapps digital refresh
542,,,,,project olive lindfield limited
543,         negative recommend bad stressful          disappointing,,,,project screen by prenetics
544,late worth buying disputing busy useuse terrible work do their job busy scam foolish respond busy arrive unreliable,,,,protein technologies ltd / rapiditydx
545,late worth buying disputing busy useuse terrible work do their job busy scam foolish respond busy arrive unreliable,,,,protein technologies ltd t/a as rapiditydx
546,late worth buying disputing busy useuse terrible work do their job busy scam foolish respond busy arrive unreliable,,,,protein technologies t/a rapiditydx
547,,,,,proviris solutions
548,,,,,pt diagnostics
549,,             ,,,pulmonics
550,,,,,pulteney pharmacy
551,,,,,pureflo health ltd
552,,,,,pyramid pharmacy
553,,,,,pyramid pharmacy bermondsey
554,,,,,pyramid pharmacy woolwich
555,,,,,pyser testing
556,,,,,queen anne street medical centre
557,,,,,quest medical
558, messed up matching poor   appalling     poor      rip off rip off   ,,,,quick clinics
559,,,,,quick meds
560,,,,,quick meds using labmedexpert
561,   took days          use  delayed recommend        ,,,,qured
562,help connect   serious    terrible different avoid avoid      worse messed up         awful confusing ,help connect   serious    terrible different avoid avoid      worse messed up         awful confusing ,,,rainbow labs
563,,,,,ramss
564,,,,,ramss limited
565,  cancelled,,,,randox health airport testing
566,,,,,randox health liverpoolone
567,  cancelled,,,,randox health london limited
568,joke rubbish missed    bad      sent off      minhajexcellent   ,,,,randox laboratories
569,joke rubbish missed    bad      sent off      minhajexcellent   ,,,,randox laboratories ltd
570,,,,,rapid covid testing
571,,,,,rapid health test
572,,,,,rapid pcr
573,late worth buying disputing busy useuse terrible work do their job busy scam foolish respond busy arrive unreliable,,,,rapiditydx
574,,,,,rb health and safety solutions ltd
575,     wrong         damaged   badly smashed  missing missing poor bad good     ,   1 star,,,rb healthcare ltd
576,,,,,reading fit to fly
577,,,,,reading fit to fly/oxford road clinics ltd
578,,,,,recovery4life
579,,,,,red 1 response
580,,,,,remedi health
581,,,,,remedys pharmacy
582,,,,,remedys pharmacy w9
583,,,,,research consultancy and health ltd
584,,,,,reviv uk
585,                expensive             ,,,,rightangled
586,,,,,rivahealth
587,,,,,roc health services
588,,,,,roc private clinic
589,,,,,rosalyn’s medical and wellbeing clinic
590,,,,,roshni clinic
591,poor cancelled fraudulent scam fraud  delivered scam scam never rip-off exhaustingavoid wrong wrong scam use terrible  busy use  cancelled,,,,rt diagnostics
592,poor negative,,,,same day clinic
593,,,,,samedaydoctor
594,    ,,,,samedaydoctor canary wharf
595,    ,,,,samedaydoctor city clinic
596,,,,,samedaydoctor manchester
597,,,,,saunders pharmacy
598,,,,,scotnursing & medical services (snms)
599, wrong                 poor avoid            ,  wrong                 poor avoid           ,,,screen4
600,,,,,sevenoaks gp t/a the private gp clinic
601,,,,,shakib&neale limitd (107 harley street)
602,,,,,shantys pharmacy
603,late    invalid  expensive    incorrectbad      full,,,,sirkka networks limited
604,     serious   ,     serious   ,,,site lt
605,,,,,skc occupational health
606,,,,,skc occupational health oxford
607,,,,,sloane square medical
608,    ,,,,sloane street testing
609,,,,,solice health ltd
610,,,,,solihull health check clinic
611,disappointing terrible terrible disappointed  strange awful strange cancelledshocking     poor    ,,,,somdoc ltd / home2lab
612,,,,,sorcha biotech
613,         incompetence incompetence irritating            review review    disappointed   ,,,,source bioscience
614,                recommend recommend  currier          ,,,,south west london covid 19 testing centre
615,                recommend recommend  currier          ,,,,south west london covid-19 centre
616,,,,,southdowns private healthcare
617,   ,,,,sterling testing
618, bad  like constantly ringing  rubbish rubbish incorrect                recommend awful unprofessional clear vanished off   high unsightly  stay away rude dreadful  false lack happen  busy outrageous unreliable ,,,,summerfield healthcare
619,,,,,sussex healthcare solutions ltd
620,,,,,synlab
621,,,,,t consultants
622,,,,,t consultants ltd
623,,,,,"t/a nash travel, tourism and transport services ltd"
624,,  recomend contaminated,,,tac healthcare group
625,,,,,tamsel (uk) ltd
626,,,,,test assurance group
627,,,,,test for now
628,,,,,test for now ltd
629,                ,,,,test to you
630,   recommend   late                 deliver deserve       delayed ,,,,testing for all
631, wrong bad fraudulent fraudulent crap false awful false disgraceful fraudulent  use deliver pointless reviewed waste  missedhappy  hassle awful recommend sued   poor use   dreadful,,,,testngo
632,,,,,the bridge clinic
633,,,,,the city & travel clinic
634,,,,,the clinic mk ltd
635,,,,,the express clinic
636,on time unresponsive,,,,the guildhall practice
637,problems scamming,,,,the health clinic by ar
638,problems scamming,,,,the health clinic by ar limited
639,,,,,the health suite
640,,,,,the hove practice
641,,,,,the london general practice
642,,,,,the mayfair gp
643,,,,,the mayfair gp clinic
644,                praise            worried                  ,,,,the medic clinic
645,,,,,the melton clinic
646,                                          recommending,,,,the montague clinic
647,,,,,the new foscote hospital
648,,,,,the palace gate practice limited
649,,,,,the pharmacy at mayfair and clinic
650,  satisfied lack of                 dreadful blamed,,,,the regenerative clinic
651,,,,,the travel health clinic
652,,,,,the travel vaccine room
653,    ,,,,the walcote practice
654,,,,,the wellness people ltd
655,disappointed consideration,,,,the whitehall clinic
656,,,,,thechemistlive.co.uk
657,                                        ,,,,top health clinic
658,,,,,totley pharmacy ltd
659,,,,,tower bridge wellness pharmacy
660,,,,,tp healthcare services
661,,,,,tp healthcare services limited
662,,,,,tp healthcare services ltd
663,available   expensive sensitive fake stay away frustratedscam expensive scam dishonest misleading misleading available ,,,,travel 19
664,,,,,travel centre
665,,,,,travel centre clapham
666,,,,,travel centre clapham ltd
667,,,,,travel klinix
668,,,,,travel test centre ltd
669,          ,,,,treated.com
670,,,,,trio pharmacy
671,, dreadful  bad                        ,,,tuli health
672,,,,,uk covid test centre
673,,,,,uk event medics
674,,,,,uk event medics limited
675,,,,,uk event medics ltd
676,littered terrible pathetic,,,,uk health testing
677,,,,,uk testing arrival centre
678,,,,,ukcovidtest
679,,,,,vaccination uk ltd
680,,,,,vanite clinic
681,,,,,visithealth limited
682,,,,,vista pharmacy
683,,,,,vitacheck
684,,,,,vitox
685,wrong incorrect   poor   frustrating clear     bad                  ,,,,vivo clinic
686,,,,,vsm pharmacy
687,,,,,well pharmacy (bestway national chemists ltd)
688,,,,,well pharmacy (bestway national chemists)
689,,,,,west midlands
690,,,,,weston road pharmacy
691,         awkward   ,,,,westwood pharmacy
692,,,,,winchester gp
693,,,,,woodsetton pharmacy
694,,,,,world travel clinic
695,,,,,worldwide travel health clinic
696,bad             negative      overprized   ,,,,wren healthcare
697,,,,,"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd."
698,,,,,xana medtec
699,,,,,xana medtec ltd
700,,,,,yakub chemist
701,,,,,your doctor film and media
702,,,,,your gp circle
703,,,,,your health first
704,,,,,your health first ltd
705,,,,,your private health
706,,,,,yourhealthfirst clinic
707,                  ,,,,ypchealth
708,,,,,zava
709,                        trusted       ,,,,zen healthcare
710,                        trusted       ,,,,zen healthcare (purecare ltd)
711,       usable   recommend                ,       usable   recommend                ,,,zoomdoc
712,       usable   recommend                ,,,,zoomdoc health
